['a46', 'a76', 'a80', 'a82', 'a90', 'a102', 'a105', 'a106', 'a107', 'a119', 'a127', 'a141']
['a41', 'a43', 'a47', 'a48', 'a56', 'a62', 'a66', 'a69', 'a74', 'a85', 'a93', 'a95']
['a50', 'a77', 'a113', 'a125', 'a154', 'a157', 'a164', 'a207', 'a215', 'a234', 'a251', 'a258']
['a42', 'a58', 'a59', 'a64', 'a65', 'a70', 'a78', 'a79', 'a89', 'a104', 'a110', 'a114']
['a51', 'a61', 'a71', 'a97', 'a98', 'a103', 'a109', 'a120', 'a126', 'a130', 'a131', 'a132']
['a44', 'a49', 'a53', 'a54', 'a55', 'a57', 'a60', 'a63', 'a68', 'a73', 'a75', 'a81']
['a45', 'a52', 'a67', 'a72', 'a84', 'a86', 'a87', 'a88', 'a91', 'a92', 'a96', 'a101']
['a15', 'a111', 'a136', 'a148', 'a153', 'a161', 'a169', 'a183', 'a188', 'a200', 'a205', 'a208']
['a11', 'a209', 'a212', 'a214', 'a223', 'a225', 'a230', 'a237', 'a239', 'a240', 'a242', 'a246']
['a449', 'a247', 'a255', 'a262', 'a264', 'a268', 'a271', 'a277', 'a289', 'a293', 'a295', 'a301']
['a28', 'a303', 'a323', 'a324', 'a329', 'a336', 'a341', 'a342', 'a362', 'a369', 'a373', 'a377']
['a1', 'a378', 'a386', 'a396', 'a402', 'a417', 'a420', 'a428', 'a432', 'a438', 'a442', 'a454']
['a13', 'a459', 'a464', 'a473', 'a478', 'a8', 'a83', 'a94', 'a99', 'a100', 'a108', 'a112']
['a19', 'a115', 'a122', 'a123', 'a134', 'a135', 'a137', 'a145', 'a146', 'a168', 'a174', 'a180']
['a18', 'a185', 'a198', 'a199', 'a216', 'a218', 'a229', 'a231', 'a235', 'a236', 'a244', 'a245']
['a24', 'a248', 'a257', 'a260', 'a261', 'a263', 'a265', 'a270', 'a287', 'a288', 'a291', 'a294']
['a461', 'a300', 'a311', 'a316', 'a317', 'a344', 'a347', 'a349', 'a353', 'a355', 'a359', 'a371']
['a30', 'a374', 'a379', 'a397', 'a406', 'a410', 'a437', 'a480', 'a7', 'a17', 'a140', 'a147']
['a16', 'a159', 'a162', 'a179', 'a181', 'a187', 'a217', 'a221', 'a232', 'a233', 'a252', 'a254']
['a27', 'a256', 'a259', 'a266', 'a272', 'a276', 'a280', 'a281', 'a283', 'a292', 'a299', 'a302']
['a22', 'a305', 'a306', 'a307', 'a312', 'a314', 'a325', 'a343', 'a364', 'a382', 'a393', 'a399']
['a21', 'a404', 'a405', 'a408', 'a409', 'a411', 'a418', 'a426', 'a429', 'a433', 'a435', 'a439']
['a33', 'a443', 'a452', 'a457', 'a460', 'a463', 'a466', 'a471', 'a475', 'a5', 'a6', 'a10']
['a470', 'a121', 'a129', 'a133', 'a138', 'a144', 'a149', 'a152', 'a163', 'a167', 'a170', 'a171']
['a31', 'a172', 'a184', 'a186', 'a189', 'a196', 'a202', 'a203', 'a204', 'a220', 'a222', 'a224']
['a20', 'a238', 'a243', 'a273', 'a278', 'a284', 'a290', 'a297', 'a304', 'a313', 'a318', 'a319']
['a29', 'a322', 'a334', 'a337', 'a348', 'a354', 'a357', 'a365', 'a370', 'a375', 'a380', 'a384']
['a23', 'a387', 'a388', 'a389', 'a398', 'a400', 'a412', 'a423', 'a431', 'a436', 'a441', 'a444']
['a34', 'a447', 'a462', 'a476', 'a4', 'a298', 'a310', 'a326', 'a331', 'a350', 'a351', 'a358']
['a35', 'a363', 'a413', 'a415', 'a421', 'a425', 'a446', 'a116', 'a117', 'a118', 'a124', 'a128']
['a3', 'a139', 'a142', 'a143', 'a155', 'a156', 'a158', 'a160', 'a166', 'a173', 'a175', 'a176']
['a36', 'a178', 'a191', 'a195', 'a226', 'a227', 'a228', 'a241', 'a249', 'a253', 'a267', 'a274']
['a26', 'a275', 'a279', 'a308', 'a309', 'a315', 'a320', 'a321', 'a327', 'a330', 'a335', 'a338']
['a32', 'a339', 'a345', 'a346', 'a352', 'a361', 'a381', 'a383', 'a385', 'a392', 'a394', 'a395']
['a25', 'a414', 'a422', 'a427', 'a430', 'a434', 'a445', 'a448', 'a451', 'a458', 'a465', 'a467']
['a37', 'a469', 'a474', 'a479', 'a2', 'a12', 'a14', 'a150', 'a151', 'a165', 'a177', 'a182']
['a40', 'a190', 'a192', 'a193', 'a194', 'a197', 'a201', 'a206', 'a210', 'a211', 'a213', 'a219']
['a9', 'a250', 'a269', 'a282', 'a285', 'a286', 'a296', 'a328', 'a332', 'a333', 'a340', 'a356']
['a39', 'a360', 'a366', 'a367', 'a368', 'a372', 'a376', 'a390', 'a391', 'a401', 'a403', 'a407']
['a38', 'a416', 'a419', 'a424', 'a440', 'a450', 'a453', 'a455', 'a456', 'a468', 'a472', 'a477']
