['4', '79', '86', '99', '141']
['9', '122', '155', '156', '157']
['14', '10', '11', '172', '173']
['19', '70', '71', '73', '74']
['24', '139', '254', '267', '289']
['29', '200', '201', '202', '204']
['34', '169', '220', '221', '222']
['39', '129', '158', '189', '35']
['44', '40', '41', '195', '196']
['49', '64', '134', '149', '179']
['54', '50', '51', '197', '102']
['59', '55', '56', '103', '255']
['69', '65', '66', '256', '257']
['72', '94', '114', '140', '142']
['84', '194', '223', '234', '236']
['85', '87', '88', '89', '120']
['104', '259', '284', '100', '101']
['119', '115', '116', '117', '258']
['164', '160', '161', '162', '280']
['174', '199', '265', '170', '171']
['184', '180', '181', '182', '281']
['219', '215', '216', '217', '282']
['272', '121', '123', '124', '214']
['297', '274', '290', '210', '211']
['207', '212', '213', '270', '271']
['67', '299', '80', '81', '82']
['57', '83', '190', '191', '192']
['52', '193', '230', '231', '232']
['177', '233', '295', '296', '143']
['42', '144', '154', '209', '266']
['187', '268', '269', '291', '292']
['167', '293', '294', '90', '91']
['27', '92', '93', '110', '111']
['287', '112', '113', '150', '151']
['242', '152', '153', '205', '206']
['12', '45', '46', '47', '48']
['277', '60', '61', '62', '63']
['227', '130', '131', '132', '133']
['218', '145', '146', '147', '148']
['183', '175', '176', '36', '37']
['198', '38', '125', '126', '127']
['163', '128', '185', '186', '224']
['118', '30', '31', '32', '33']
['283', '165', '166', '25', '26']
['273', '20', '21', '22', '23']
['298', '135', '136', '137', '138']
['208', '250', '251', '252', '253']
['68', '285', '286', '109', '235']
['58', '237', '238', '239', '244']
['53', '15', '16', '17', '18']
['178', '105', '106', '107', '108']
['43', '240', '241', '159', '203']
['188', '249', '264', '279', '5']
['168', '6', '7', '8', '245']
['28', '246', '247', '248', '260']
['288', '261', '262', '263', '275']
['243', '276', '229', '0', '1']
['13', '2', '3', '75', '76']
['278', '77', '78', '95', '96']
['228', '97', '98', '225', '226']
