['A0', 'B0', 'C0']
['H1', 'A2', 'B2']
['H3', 'A4', 'B4']
['H5', 'A6', 'B6']
['H7', 'A8', 'B8']
['H9', 'A10', 'B10']
['H11', 'A12', 'B12']
['H13', 'A14', 'B14']
['H15', 'A16', 'B16']
['H17', 'A18', 'B18']
['H19', 'A20', 'B20']
['H21', 'A22', 'B22']
['H23', 'A24', 'B24']
['H25', 'A26', 'B26']
['H27', 'A28', 'B28']
['H29', 'A30', 'B30']
['H31', 'A32', 'B32']
['H33', 'A34', 'B34']
['H35', 'A36', 'B36']
['H37', 'A38', 'B38']
['H39', 'A40', 'B40']
['H41', 'A42', 'B42']
['H43', 'A44', 'B44']
['H45', 'A46', 'B46']
['H47', 'A48', 'B48']
['H49', 'A50', 'B50']
['H51', 'A52', 'B52']
['0', 'C52', 'D52']
['1', 'E52', 'F52']
['2', 'G52', 'H52']
['3', 'A53', 'B53']
['4', 'C53', 'D53']
['5', 'E53', 'F53']
['6', 'G53', 'H53']
['7', 'A54', 'B54']
['8', 'C54', 'D54']
['9', 'E54', 'F54']
['10', 'C50', 'D50']
['11', 'E50', 'F50']
['12', 'G50', 'H50']
['13', 'A51', 'B51']
['14', 'C51', 'D51']
['15', 'C48', 'D48']
['16', 'E48', 'F48']
['17', 'G48', 'H48']
['18', 'A49', 'B49']
['19', 'C49', 'D49']
['20', 'C46', 'D46']
['21', 'E46', 'F46']
['22', 'G46', 'H46']
['23', 'A47', 'B47']
['24', 'C47', 'D47']
['25', 'C44', 'D44']
['26', 'E44', 'F44']
['27', 'G44', 'H44']
['28', 'A45', 'B45']
['29', 'C45', 'D45']
['30', 'C42', 'D42']
['31', 'E42', 'F42']
['32', 'G42', 'H42']
['33', 'A43', 'B43']
['34', 'C43', 'D43']
['35', 'C40', 'D40']
['36', 'E40', 'F40']
['37', 'G40', 'H40']
['38', 'A41', 'B41']
['39', 'C41', 'D41']
['40', 'C38', 'D38']
['41', 'E38', 'F38']
['42', 'G38', 'H38']
['43', 'A39', 'B39']
['44', 'C39', 'D39']
['45', 'C36', 'D36']
['46', 'E36', 'F36']
['47', 'G36', 'H36']
['48', 'A37', 'B37']
['49', 'C37', 'D37']
['50', 'C34', 'D34']
['51', 'E34', 'F34']
['52', 'G34', 'H34']
['53', 'A35', 'B35']
['54', 'C35', 'D35']
['55', 'C32', 'D32']
['56', 'E32', 'F32']
['57', 'G32', 'H32']
['58', 'A33', 'B33']
['59', 'C33', 'D33']
['E51', 'C30', 'D30']
['E49', 'E30', 'F30']
['E47', 'G30', 'H30']
['E45', 'A31', 'B31']
['E43', 'C31', 'D31']
['E41', 'C28', 'D28']
['E39', 'E28', 'F28']
['E37', 'G28', 'H28']
['E35', 'A29', 'B29']
['E33', 'C29', 'D29']
['E31', 'C26', 'D26']
['E29', 'E26', 'F26']
['E27', 'G26', 'H26']
['E25', 'A27', 'B27']
['E23', 'C27', 'D27']
['E21', 'C24', 'D24']
['E19', 'E24', 'F24']
['E17', 'G24', 'H24']
['E15', 'A25', 'B25']
['E13', 'C25', 'D25']
['E11', 'C22', 'D22']
['E9', 'E22', 'F22']
['E7', 'G22', 'H22']
['E5', 'A23', 'B23']
['E3', 'C23', 'D23']
['E1', 'C20', 'D20']
['G54', 'E20', 'F20']
['F51', 'G20', 'H20']
['F49', 'A21', 'B21']
['F47', 'C21', 'D21']
['F45', 'C18', 'D18']
['F43', 'E18', 'F18']
['F41', 'G18', 'H18']
['F39', 'A19', 'B19']
['F37', 'C19', 'D19']
['F35', 'C16', 'D16']
['F33', 'E16', 'F16']
['F31', 'G16', 'H16']
['F29', 'A17', 'B17']
['F27', 'C17', 'D17']
['F25', 'C14', 'D14']
['F23', 'E14', 'F14']
['F21', 'G14', 'H14']
['F19', 'A15', 'B15']
['F17', 'C15', 'D15']
['F15', 'C12', 'D12']
['F13', 'E12', 'F12']
['F11', 'G12', 'H12']
['F9', 'A13', 'B13']
['F7', 'C13', 'D13']
['F5', 'C10', 'D10']
['F3', 'E10', 'F10']
['F1', 'G10', 'H10']
['H54', 'A11', 'B11']
['G51', 'C11', 'D11']
['G49', 'C8', 'D8']
['G47', 'E8', 'F8']
['G45', 'G8', 'H8']
['G43', 'A9', 'B9']
['G41', 'C9', 'D9']
['G39', 'C6', 'D6']
['G37', 'E6', 'F6']
['G35', 'G6', 'H6']
['G33', 'A7', 'B7']
['G31', 'C7', 'D7']
['G29', 'C4', 'D4']
['G27', 'E4', 'F4']
['G25', 'G4', 'H4']
['G23', 'A5', 'B5']
['G21', 'C5', 'D5']
['G19', 'C2', 'D2']
['G17', 'E2', 'F2']
['G15', 'G2', 'H2']
['G13', 'A3', 'B3']
['G11', 'C3', 'D3']
['G9', 'D0', 'E0']
['G7', 'F0', 'G0']
['G5', 'H0', 'A1']
['G3', 'B1', 'C1']
['G1', 'D1']
