['0', '7', '10', '15', '19', '31', '34', '35', '36', '38', '51']
['1', '4', '6', '8', '17', '20', '21', '22', '24', '28', '30']
['2', '26', '56', '88', '91', '95', '96', '112', '127', '129', '130']
['3', '23', '25', '29', '50', '53', '55', '64', '67', '73', '77']
['5', '9', '11', '12', '18', '32', '33', '39', '40', '42', '43']
['13', '14', '65', '71', '94', '122', '143', '164', '168', '183', '197']
['16', '27', '41', '45', '60', '74', '78', '100', '101', '105', '109']
['439', '111', '116', '131', '145', '153', '165', '176', '178', '213', '215']
['479', '220', '230', '239', '245', '247', '248', '251', '252', '256', '259']
['399', '292', '294', '308', '311', '313', '314', '316', '321', '322', '326']
['481', '334', '336', '339', '343', '345', '364', '374', '375', '379', '380']
['455', '381', '382', '386', '401', '403', '412', '419', '421', '423', '432']
['442', '444', '450', '469', '472', '221', '222', '236', '260', '264', '266']
['471', '268', '270', '280', '282', '284', '288', '289', '297', '303', '309']
['448', '335', '358', '57', '58', '59', '61', '63', '66', '75', '80']
['489', '85', '89', '92', '107', '110', '114', '115', '117', '118', '123']
['405', '124', '138', '140', '141', '142', '144', '151', '156', '157', '158']
['483', '159', '180', '184', '186', '190', '194', '195', '209', '216', '217']
['456', '246', '249', '253', '254', '255', '257', '262', '273', '281', '283']
['459', '285', '286', '291', '304', '310', '315', '319', '323', '324', '325']
['477', '332', '333', '351', '366', '370', '383', '384', '388', '389', '390']
['460', '393', '398', '404', '409', '413', '420', '437', '445', '447', '453']
['490', '457', '458', '463', '473', '97', '98', '102', '103', '106', '108']
['441', '113', '133', '135', '136', '155', '171', '179', '182', '193', '205']
['484', '219', '229', '231', '233', '237', '244', '261', '269', '271', '274']
['461', '279', '298', '305', '312', '317', '327', '328', '329', '338', '346']
['470', '347', '354', '355', '361', '376', '396', '397', '400', '407', '414']
['478', '415', '417', '422', '436', '443', '446', '451', '454', '132', '137']
['464', '139', '150', '170', '173', '174', '175', '185', '189', '199', '202']
['493', '208', '228', '243', '272', '276', '277', '278', '290', '293', '299']
['449', '301', '302', '306', '342', '344', '348', '349', '352', '360', '367']
['485', '395', '411', '418', '425', '431', '434', '37', '44', '46', '47']
['466', '48', '49', '52', '69', '70', '76', '79', '82', '83', '99']
['475', '104', '120', '134', '147', '148', '152', '160', '167', '169', '172']
['480', '177', '181', '187', '192', '200', '201', '204', '206', '207', '210']
['474', '211', '214', '224', '226', '232', '234', '240', '250', '258', '263']
['498', '265', '275', '287', '300', '330', '331', '340', '341', '356', '357']
['465', '359', '362', '363', '365', '369', '372', '373', '377', '385', '387']
['486', '391', '402', '408', '410', '416', '424', '428', '429', '430', '435']
['476', '440', '452', '462', '467', '468', '54', '62', '68', '72', '81']
['491', '84', '86', '87', '90', '93', '119', '121', '125', '126', '128']
['482', '146', '149', '154', '161', '162', '163', '166', '188', '191', '196']
['487', '198', '203', '212', '218', '223', '225', '227', '235', '238', '241']
['499', '242', '267', '295', '296', '307', '318', '320', '337', '350', '353']
['488', '368', '371', '378', '392', '394', '406', '426', '427', '433', '438']
['496']
['494']
['497']
['495']
['492']
