['2', '16', '21', '22', '26', '28', '33', '39', '52', '53', '58', '60', '71', '78', '85', '89', '90', '99', '100', '106', '119', '131', '134']
['3', '11', '36', '38', '43', '49', '55', '57', '61', '65', '70', '72', '101', '114', '122', '124', '145', '156', '157', '159', '169', '175', '179']
['4', '6', '13', '19', '40', '54', '64', '68', '73', '75', '80', '82', '83', '94', '95', '102', '109', '117', '125', '127', '128', '135', '141']
['5', '7', '9', '10', '14', '17', '20', '27', '30', '34', '41', '46', '56', '59', '66', '81', '86', '88', '97', '98', '120', '130', '148']
['8', '12', '29', '31', '42', '48', '63', '69', '76', '77', '91', '96', '104', '105', '123', '137', '138', '139', '143', '152', '154', '158', '166']
['439', '172', '180', '183', '187', '188', '190', '198', '201', '215', '216', '229', '230', '234', '235', '237', '241', '243', '251', '253', '257', '268', '276']
['32', '278', '288', '290', '295', '304', '320', '323', '327', '330', '340', '354', '359', '362', '365', '366', '373', '375', '393', '399', '400', '401', '406']
['467', '416', '426', '427', '433', '435', '448', '453', '455', '457', '460', '462', '471', '472', '473', '479', '481', '482', '35', '62', '74', '84', '92']
['466', '108', '111', '129', '132', '136', '174', '204', '224', '255', '265', '378', '386', '389', '408', '411', '417', '431', '454', '151', '162', '163', '185']
['418', '191', '205', '213', '231', '238', '239', '247', '258', '272', '274', '281', '302', '315', '319', '329', '338', '342', '355', '360', '361', '364', '367']
['24', '368', '376', '379', '380', '402', '404', '405', '413', '419', '420', '421', '428', '430', '436', '441', '443', '451', '464', '483', '103', '249', '250']
['206', '280', '306', '309', '332', '349', '351', '352', '369', '422', '463', '144', '147', '149', '150', '155', '165', '170', '171', '173', '192', '196', '197']
['203', '209', '211', '212', '218', '220', '222', '227', '236', '240', '246', '254', '256', '259', '267', '270', '291', '297', '310', '311', '313', '335', '339']
['475', '341', '343', '346', '348', '353', '374', '384', '387', '394', '407', '409', '414', '415', '437', '449', '459', '468', '474', '478', '15', '115', '178']
['445', '298', '299', '181', '184', '189', '207', '210', '214', '221', '228', '244', '245', '261', '263', '271', '277', '283', '287', '289', '293', '294', '296']
['25', '300', '303', '305', '307', '312', '314', '316', '318', '322', '324', '325', '328', '333', '334', '345', '358', '372', '381', '382', '383', '388', '391']
['317', '392', '396', '403', '412', '424', '425', '432', '438', '458', '461', '465', '476', '485', '18', '23', '45', '50', '87', '110', '112', '118', '121']
['423', '126', '164', '168', '186', '226', '232', '266', '284', '286', '363', '370', '377', '140', '142', '146', '153', '160', '161', '176', '177', '193', '194']
['484', '195', '199', '200', '202', '217', '219', '225', '248', '252', '260', '264', '269', '275', '279', '282', '285', '326', '337', '344', '347', '350', '356']
['447', '357', '371', '390', '395', '397', '410', '440', '442', '446', '450', '452', '456', '469', '477', '480', '1', '37', '47', '51', '67', '79', '93']
['44', '107', '113', '116', '133', '167', '182', '208', '223', '233', '242', '262', '273', '292', '301', '308', '321', '331', '385', '398', '429', '434', '444']
['336', '470']
