['0', '463', '2']
['1', '59', '8']
['3', '397', '146']
['4', '15', '234']
['5', '162', '298']
['6', '442', '228']
['7', '254', '131']
['10', '183', '9']
['12', '452', '429']
['13', '253', '406']
['14', '31', '129']
['18', '174', '185']
['19', '145', '40']
['20', '34', '448']
['21', '306', '390']
['22', '396', '39']
['23', '445', '11']
['25', '154', '474']
['26', '95', '33']
['27', '170', '108']
['28', '177', '16']
['29', '140', '17']
['30', '485', '334']
['32', '415', '78']
['35', '428', '24']
['36', '73', '46']
['37', '391', '102']
['38', '370', '297']
['41', '206', '87']
['42', '136', '49']
['43', '489', '52']
['44', '77', '103']
['45', '412', '124']
['50', '106', '420']
['51', '435', '53']
['55', '417', '455']
['56', '362', '282']
['58', '422', '213']
['66', '472', '239']
['71', '156', '54']
['76', '224', '57']
['83', '273', '199']
['84', '426', '255']
['85', '243', '60']
['89', '169', '61']
['91', '133', '63']
['94', '153', '67']
['98', '478', '68']
['107', '498', '69']
['112', '380', '499']
['114', '236', '207']
['126', '132', '70']
['127', '161', '359']
['134', '351', '72']
['141', '484', '367']
['155', '196', '361']
['160', '413', '74']
['165', '274', '75']
['172', '453', '330']
['173', '270', '81']
['201', '456', '414']
['205', '372', '82']
['225', '395', '90']
['227', '374', '92']
['235', '258', '93']
['241', '394', '250']
['246', '365', '96']
['269', '308', '401']
['279', '347', '99']
['283', '447', '101']
['284', '451', '104']
['303', '313', '111']
['352', '482', '115']
['382', '384', '119']
['383', '408', '120']
['405', '421', '121']
['439', '490', '130']
['142', '137', '144']
['149', '148', '151']
['163', '157', '166']
['168', '167', '175']
['178', '176', '179']
['184', '180', '186']
['189', '187', '190']
['192', '493', '231']
['195', '411', '476']
['197', '249', '464']
['202', '423', '475']
['203', '314', '109']
['204', '194', '216']
['208', '260', '349']
['209', '496', '65']
['214', '86', '400']
['215', '399', '100']
['217', '212', '385']
['219', '210', '222']
['221', '488', '247']
['223', '450', '318']
['226', '220', '171']
['229', '339', '324']
['232', '364', '470']
['237', '150', '286']
['238', '191', '373']
['240', '418', '388']
['244', '139', '337']
['245', '193', '281']
['248', '290', '310']
['251', '64', '480']
['252', '416', '319']
['257', '299', '117']
['259', '159', '122']
['261', '147', '152']
['263', '285', '256']
['264', '188', '304']
['266', '438', '198']
['267', '354', '434']
['272', '360', '469']
['275', '427', '454']
['276', '116', '392']
['277', '123', '230']
['280', '262', '307']
['287', '325', '425']
['289', '407', '321']
['291', '135', '403']
['293', '80', '363']
['294', '97', '88']
['295', '182', '113']
['296', '181', '355']
['301', '460', '316']
['302', '79', '268']
['305', '419', '446']
['309', '495', '48']
['312', '128', '143']
['315', '292', '200']
['317', '492', '471']
['322', '468', '271']
['323', '350', '288']
['326', '343', '441']
['327', '300', '62']
['328', '138', '110']
['329', '465', '278']
['331', '389', '404']
['332', '320', '218']
['333', '233', '47']
['335', '164', '125']
['336', '105', '311']
['338', '118', '348']
['340', '158', '211']
['341', '481', '242']
['342', '265', '378']
['344']
['345']
['346']
['353']
['356']
['357']
['358']
['366']
['368']
['369']
['371']
['375']
['376']
['377']
['379']
['381']
['386']
['387']
['393']
['398']
['402']
['409']
['410']
['424']
['430']
['431']
['432']
['433']
['436']
['437']
['440']
['443']
['444']
['449']
['457']
['458']
['459']
['461']
['462']
['466']
['467']
['473']
['477']
['479']
['483']
['486']
['487']
['491']
['494']
['497']
