['17', '77', '129', '133', '162', '238', '0', '73', '74', '84', '161', '200', '218', '300', '6', '40', '136', '144']
['1', '147', '152', '185', '190', '268', '297', '11', '19', '36', '46', '132', '159', '263', '290']
['119', '123', '166', '180', '193', '203', '210', '256', '2', '127', '195', '197', '229', '281']
['16', '30', '59', '76', '110', '175', '178', '189', '212', '3', '188', '239', '245', '283']
['4', '12', '32', '72', '137', '273', '294', '35', '80', '124', '141', '157', '196', '213']
['82', '117', '135', '227', '234', '304', '308', '5', '14', '99', '171', '246', '286', '299']
['7', '62', '64', '79', '98', '146', '282', '311', '21', '105', '111', '201', '219', '233']
['26', '163', '172', '255', '288', '295', '303', '8', '33', '61', '148', '226', '231', '262']
['53', '151', '198', '296', '9', '25', '38', '42', '75', '95', '109', '126', '277', '298']
['28', '55', '89', '101', '131', '176', '312', '10', '54', '118', '125', '170', '230', '301']
['140', '206', '252', '276', '289', '13', '20', '50', '68', '70', '114', '143', '214', '247']
['15', '37', '108', '165', '187', '260', '264', '113', '154', '169', '205', '236', '242', '243']
['18', '139', '167', '168', '220', '240', '278', '285', '43', '91', '138', '221', '254', '272']
['22', '96', '217', '225', '237', '249', '250', '24', '27', '44', '92', '121', '177', '192']
['23', '29', '51', '71', '93', '191', '257', '284', '307', '47', '85', '86', '241', '244']
['63', '128', '173', '209', '274', '31', '48', '122', '164', '202', '216', '266', '269', '279']
['34', '60', '83', '142', '184', '194', '208', '261', '306', '87', '88', '103', '134', '232']
['39', '78', '207', '248', '251', '287', '45', '66', '81', '106', '160', '182', '199', '204']
['69', '90', '102', '120', '145', '174', '223', '293', '313', '41', '67', '104', '156', '181']
['49', '58', '65', '112', '130', '155', '158', '271', '291', '97', '149', '222', '280', '305']
['52', '179', '228', '235', '258', '259', '270', '57', '215', '265', '267', '275', '309', '310']
['94', '115', '116', '153', '211', '224', '56', '100', '107', '150', '183', '186', '253', '302']
['292']
