['IsaiahTaylor', 'MalcolmDelaney']
['MarcusMorris', 'DanielTheis']
['QuincyAcy', 'TylerZeller']
['TreveonGraham', 'MichaelCarterWilliams']
['KrisDunn', 'PaulZipser']
['DwyaneWade', 'CediOsman']
['MaxiKleber', 'SalahMejri']
['PaulMillsap', 'TorreyCraig']
['IshSmith', 'AveryBradley']
['BlakeGriffin', 'SamDekker']
['DavidWest', 'PatrickMcCaw']
['LucMbahaMoute', 'NeneHilario']
['DomantasSabonis', 'AlJefferson']
['JordanClarkson', 'CoreyBrewer']
['BenMcLemore', 'DeyontaDavis']
['BamAdebayo', 'DionWaiters']
['JasonTerry', 'JabariParker']
['NemanjaBjelica', 'ShabazzMuhammad']
['DanteCunningham', 'NikolaMirotic']
['KyleOQuinn', 'DougMcDermott']
['AlexAbrines', 'JoshHuestis']
['ShelvinMack', 'WesleyIwundu']
['JerrydBayless', 'RichaunHolmes']
['AlexLen', 'JaredDudley']
['EdDavis', 'ZachCollins']
['KostaKoufos', 'GeorgeHill']
['ManuGinobili', 'DavisBertans']
['OGAnunoby', 'CJMiles']
['RodneyHood', 'EkpeUdoh']
['MikeScott', 'JodieMeeks']
['KellyOubre', 'BradleyBeal']
['RickyRubio', 'OttoPorter']
['SergeIbaka', 'MarkieffMorris']
['KyleAnderson', 'TomasSatoransky']
['DeAaronFox', 'DonovanMitchell']
['JusufNurkic', 'JoeIngles']
['JoshJackson', 'RudyGobert']
['DarioSaric', 'RoyceONeale']
['EvanFournier', 'DeMarDeRozan']
['CarmeloAnthony', 'KyleLowry']
['EnesKanter', 'PascalSiakam']
['ETwaunMoore', 'JakobPoeltl']
['TajGibson', 'LaMarcusAldridge']
['EricBledsoe', 'PattyMills']
['TylerJohnson', 'DannyGreen']
['JarellMartin', 'DejounteMurray']
['JuliusRandle', 'BogdanBogdanovic']
['BojanBogdanovic', 'WillieCauleyStein']
['TrevorAriza', 'GarrettTemple']
['DraymondGreen', 'ZachRandolph']
['DeAndreJordan', 'CJMcCollum']
['LangstonGalloway', 'DamianLillard']
['NikolaJokic', 'EvanTurner']
['WesleyMatthews', 'ShabazzNapier']
['JeffGreen', 'TJWarren']
['LauriMarkkanen', 'DraganBender']
['MarvinWilliams', 'TylerUlis']
['DeMarreCarroll', 'TroyDaniels']
['JaylenBrown', 'BenSimmons']
['KentBazemore', 'RobertCovington']
['MarcinGortat', 'JoelEmbiid']
['DerrickFavors', 'TJMcConnell']
['JonasValanciunas', 'JonathonSimmons']
['PauGasol', 'AaronGordon']
['BuddyHield', 'NikolaVucevic']
['AlFarouqAminu', 'MarioHezonja']
['DevinBooker', 'RussellWestbrook']
['JJRedick', 'PaulGeorge']
['DJAugustin', 'JeramiGrant']
['StevenAdams', 'RaymondFelton']
['FrankNtilikina', 'CourtneyLee']
['DariusMiller', 'TimHardaway']
['JeffTeague', 'MichaelBeasley']
['TonySnell', 'KristapsPorzingis']
['WayneEllington', 'JrueHoliday']
['TyrekeEvans', 'AnthonyDavis']
['BrandonIngram', 'DeMarcusCousins']
['CoryJoseph', 'RajonRondo']
['EricGordon', 'AndrewWiggins']
['StephenCurry', 'KarlAnthonyTowns']
['AustinRivers', 'JimmyButler']
['AnthonyTolliver', 'JamalCrawford']
['WilsonChandler', 'KhrisMiddleton']
['DennisSmith', 'GiannisAntetokounmpo']
['KevinLove', 'JohnHenson']
['RobinLopez', 'MalcolmBrogdon']
['NicolasBatum', 'JoshRichardson']
['JoeHarris', 'GoranDragic']
['TerryRozier', 'JamesJohnson']
['JohnCollins', 'KellyOlynyk']
['JohnWall', 'MarcGasol']
['JonasJerebko', 'DillonBrooks']
['FredVanVleet', 'JaMychalGreen']
['BrynForbes', 'MarioChalmers']
['JustinJackson', 'KentaviousCaldwellPope']
['PatConnaughton', 'KyleKuzma']
['MarqueseChriss', 'LonzoBall']
['AmirJohnson', 'BrookLopez']
['BismackBiyombo', 'ThaddeusYoung']
['PatrickPatterson', 'VictorOladipo']
['JarrettJack', 'DarrenCollison']
['IanClark', 'LanceStephenson']
['TyusJones', 'JamesHarden']
['ThonMaker', 'PJTucker']
['JustiseWinslow', 'ClintCapela']
['AndrewHarrison', 'ChrisPaul']
['JoshHart', 'KlayThompson']
['MylesTurner', 'KevinDurant']
['RyanAnderson', 'AndreIguodala']
['ShaunLivingston', 'NickYoung']
['SindariusThornwell', 'TobiasHarris']
['ReggieBullock', 'LouWilliams']
['TreyLyles', 'WesleyJohnson']
['JJBarea', 'MontrezlHarrell']
['TristanThompson', 'ReggieJackson']
['BobbyPortis', 'AndreDrummond']
['FrankKaminsky', 'StanleyJohnson']
['JarrettAllen', 'WillBarton']
['AronBaynes', 'JamalMurray']
['ErsanIlyasova', 'GaryHarris']
['IanMahinmi', 'MasonPlumlee']
['AlecBurks', 'HarrisonBarnes']
['DelonWright', 'YogiFerrell']
['RudyGay', 'DirkNowitzki']
['SkalLabissiere', 'DwightPowell']
['MauriceHarkless', 'LeBronJames']
['TysonChandler', 'JRSmith']
['TimotheLuwawuCabarrot', 'KyleKorver']
['ElfridPayton', 'JaeCrowder']
['AndreRoberson', 'JustinHoliday']
['LanceThomas', 'DenzelValentine']
['JameerNelson', 'JerianGrant']
['GorguiDieng', 'DavidNwaba']
['SterlingBrown', 'KembaWalker']
['HassanWhiteside', 'DwightHoward']
['JamesEnnis', 'JeremyLamb']
['LarryNance', 'MichaelKiddGilchrist']
['JoeYoung', 'SpencerDinwiddie']
['GeraldGreen', 'AllenCrabbe']
['ZazaPachulia', 'RondaeHollisJefferson']
['MilosTeodosic', 'CarisLeVert']
['LukeKennard', 'JaysonTatum']
['EmmanuelMudiay', 'AlHorford']
['DevinHarris', 'KyrieIrving']
['JoseCalderon', 'MarcusSmart']
['CristianoFelicio', 'TaureanWallerPrince']
['MalikMonk', 'DennisSchroder']
['DAngeloRussell', 'DewayneDedmon']
['SemiOjeleye', 'MarcoBelinelli']
['MikeMuscala']
