['1', '2', '3', '4', '5', '8', '11', '12', '6', '7', '10', '9', '13', '14', '18', '19', '20', '24', '25', '26', '27', '31', '32', '33', '34', '35', '39', '40', '41', '42']
['17', '22', '23', '15', '16', '21', '43', '44', '48', '49', '50', '51', '52', '53', '54', '58', '59', '60', '61', '62', '63', '64', '65', '69', '70', '71', '72', '73', '74', '75']
['30', '37', '38', '28', '29', '36', '76', '77', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '108']
['47', '56', '57', '45', '46', '55', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '123', '124', '125', '126', '127', '128', '129', '130', '131', '132', '133', '134', '135']
['68', '79', '80', '66', '67', '78', '139', '140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150', '151', '152', '156', '157', '158', '159', '160', '161', '162', '163', '164', '165']
['93', '106', '107', '91', '92', '105', '166', '167', '168', '169', '170', '174', '175', '176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '193', '194', '195']
['122', '137', '138', '120', '121', '136', '196', '197', '198', '199', '200', '201', '202', '203', '204', '205', '206', '207', '208', '209', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222']
['155', '172', '173', '153', '154', '171', '223', '224', '225', '226', '227', '228', '229', '230', '234', '235', '236', '237', '238', '239', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249']
['192', '211', '212', '190', '191', '210', '250', '251', '252', '256', '257', '258', '259', '260', '261', '262', '263', '264', '265', '266', '267', '268', '269', '270', '271', '272', '273', '274', '275', '279']
['233', '254', '255', '231', '232', '253', '280', '281', '282', '283', '284', '285', '286', '287', '288', '289', '290', '291', '292', '293', '294', '295', '296', '297', '298', '299', '303', '304', '305', '306']
['278', '301', '302', '276', '277', '300', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319', '320', '321', '322', '323', '324', '328', '329', '330', '331', '332', '333']
['327', '352', '353', '325', '326', '351', '334', '335', '336', '337', '338', '339', '340', '341', '342', '343', '344', '345', '346', '347', '348', '349', '350', '354', '355', '356', '357', '358', '359', '360']
['362', '361', '363', '364', '365', '366', '367', '368', '369', '370', '371', '372', '373', '374', '375', '376', '377']
