['0', '2', '13', '20', '21', '29', '30', '35', '36', '37', '42', '44', '48', '54', '55', '57', '61', '62', '64', '71', '73', '75', '76', '81', '84']
['1', '5', '6', '8', '9', '12', '14', '16', '17', '25', '31', '33', '56', '60', '66', '67', '72', '78', '83', '87', '88', '97', '101', '104', '105']
['3', '7', '10', '18', '19', '22', '23', '24', '26', '28', '39', '40', '43', '45', '46', '47', '49', '53', '65', '68', '70', '79', '82', '85', '90']
['4', '11', '32', '41', '50', '69', '74', '80', '106', '112', '115', '124', '135', '137', '139', '148', '149', '153', '157', '161', '164', '165', '169', '171', '179']
['15', '27', '34', '38', '51', '52', '58', '59', '63', '77', '89', '94', '103', '108', '114', '116', '118', '126', '128', '131', '133', '136', '143', '145', '151']
['394', '152', '156', '158', '163', '170', '177', '192', '205', '209', '220', '224', '237', '238', '240', '248', '253', '259', '265', '267', '280', '281', '284', '287', '288']
['380', '293', '295', '296', '297', '299', '320', '321', '336', '337', '340', '343', '354', '363', '364', '366', '369', '374', '378', '379', '184', '195', '203', '204', '212']
['389', '213', '221', '226', '227', '234', '242', '250', '252', '258', '261', '263', '266', '274', '283', '285', '301', '305', '309', '310', '312', '315', '329', '330', '341']
['347', '353', '358', '376', '382', '385', '387', '95', '99', '100', '109', '111', '121', '134', '154', '159', '166', '167', '172', '176', '178', '182', '187', '188', '193']
['273', '198', '207', '217', '223', '225', '230', '233', '247', '255', '260', '269', '271', '286', '300', '302', '304', '313', '323', '327', '334', '346', '348', '365', '377']
['395', '392', '396', '398', '399', '93', '218', '277', '110', '113', '120', '123', '132', '142', '147', '168', '174', '175', '180', '183', '185', '186', '189', '196', '199']
['384', '202', '210', '211', '219', '222', '235', '236', '246', '249', '251', '268', '272', '276', '278', '282', '289', '306', '311', '314', '317', '322', '324', '325', '326']
['390', '335', '338', '339', '342', '344', '349', '351', '352', '355', '356', '357', '361', '367', '368', '372', '375', '381', '386', '388', '393', '91', '160', '191', '86']
['370', '92', '96', '98', '102', '107', '117', '119', '122', '125', '127', '129', '130', '138', '140', '141', '144', '146', '150', '155', '162', '173', '181', '190', '194']
['350', '197', '200', '201', '206', '208', '214', '215', '216', '228', '229', '231', '232', '239', '241', '243', '244', '245', '254', '256', '257', '262', '264', '270', '275']
['397', '279', '290', '291', '292', '294', '298', '303', '307', '308', '316', '318', '319', '328', '331', '332', '333', '345', '359', '360', '362', '371', '373', '383', '391']
