['v10', 'd9', 'e10', 'c5', 'e8', 'o4', 't1', 'w2', 'b8', 'o9']
['y9', 'y8', 'y1', 'd7', 'y2', 'y5', 'd3', 'y7', 'd1', 'm10']
['c4', 'd4', 'c6', 'g4', 'r10', 'g9', 't7', 't2', 'w10', 'w6']
['d8', 'q2', 'l6', 'l7', 'l4', 'l5', 'l2', 'l3', 'l1', 'l8']
['q1', 'q3', 'q5', 'q4', 'q7', 'q6', 'q9', 'c10', 'g6', 'g2']
['g7', 'g5', 'g8', 'x4', 'x10', 'j9', 'j4', 'j5', 'j2', 'b4']
['i10', 'b7', 'b3', 'd5', 'e7', 'e6', 'e3', 'h9', 'h2', 'h3']
['n2', 'h1', 'h7', 'h4', 'h5', 'x1', 'm4', 'm6', 'm8', 'b9']
['v5', 'c9', 'x2', 'x3', 'x5', 'b6', 'f1', 'f2', 's8', 's2']
['a1', 's1', 's7', 's6', 's5', 's4', 'k2', 'k6', 'k4', 'b5']
['g1', 'k9', 'i8', 'i1', 'i2', 'i6', 'v6', 'v8', 'v9', 'x9']
['s3', 't8', 't9', 't6', 't4', 't5', 't3', 'n10', 'j8', 'q10']
['n8', 'e4', 'q8', 'a9', 'k10', 'u8', 'u4', 'u6', 'u1', 'u3']
['n5', 'c1', 'c2', 'p9', 'f4', 'd10', 'k3', 'b10', 'i3', 'i4']
['v7', 'v1', 'v2', 'v3', 'v4', 'l9', 'w9', 'l10', 's10', 'r4']
['n9', 'r3', 'r9', 'a2', 'a5', 'h8', 'a7', 'a3', 'm9', 'i9']
['a10', 'w5', 'w3', 'w8', 'a6', 't10', 'e9', 'e1', 'f10', 'e2']
['k1', 'r6', 'r1', 'r8', 'a4', 'm2', 'c8', 'x6', 'x7', 'w7']
['d6', 'h10', 'w4', 'c7', 'b1', 'f5', 'f8', 'g3', 'j10', 'p3']
['n6', 'p10', 'j6', 'j7', 'j1', 'b2', 'y3', 'd2', 'y4', 'y6']
['n4', 'r5', 'r7', 'r2', 'x8', 'y10', 'w1', 'h6', 'u9', 'n7']
['n1', 'u5', 'u7', 'u2', 'm5', 'm7', 'm1', 'm3', 'u10', 'j3']
['g10', 'p2', 'p1', 'p7', 'p4', 'p5', 'p8', 'o8', 'o7', 'o6']
['k5', 'o5', 'o3', 'o2', 'o1', 'e5', 'o10', 'a8', 'c3', 'p6']
['n3', 'f3', 'f6', 'f7', 'f9', 's9', 'k7', 'k8', 'i5', 'i7']
