['1', '2', '3', '5']
['33', '34', '35', '37']
['65', '66', '67', '69']
['97', '98', '99', '101']
['129', '130', '131', '133']
['161', '162', '163', '165']
['193', '194', '195', '197']
['225', '226', '227', '229']
['257', '258', '259', '261']
['289', '290', '291', '293']
['321', '322', '323', '325']
['353', '354', '355', '357']
['385', '386', '387', '389']
['417', '418', '419', '421']
['449', '450', '451', '453']
['465', '466', '467', '469']
['380', '470', '471', '473']
['348', '474', '475', '477']
['316', '478', '479', '481']
['284', '482', '483', '485']
['252', '486', '487', '489']
['220', '490', '491', '493']
['188', '494', '495', '464']
['156', '492', '454', '455']
['124', '457', '458', '459']
['92', '461', '422', '423']
['60', '425', '426', '427']
['28', '429', '430', '431']
['468', '433', '434', '435']
['462', '437', '438', '439']
['420', '441', '442', '443']
['388', '445', '446', '447']
['356', '416', '444', '390']
['324', '391', '393', '394']
['292', '395', '397', '398']
['260', '399', '401', '402']
['228', '403', '405', '406']
['196', '407', '409', '410']
['164', '411', '413', '414']
['132', '415', '384', '412']
['100', '358', '359', '361']
['68', '362', '363', '365']
['36', '366', '367', '369']
['4', '370', '371', '373']
['472', '374', '375', '377']
['463', '378', '379', '381']
['424', '382', '383', '352']
['392', '326', '327', '329']
['360', '330', '331', '333']
['328', '334', '335', '337']
['296', '338', '339', '341']
['264', '342', '343', '345']
['232', '346', '347', '349']
['200', '350', '351', '320']
['168', '294', '295', '297']
['136', '298', '299', '301']
['104', '302', '303', '305']
['72', '306', '307', '309']
['40', '310', '311', '313']
['8', '314', '315', '317']
['476', '318', '319', '288']
['448', '262', '263', '265']
['428', '266', '267', '269']
['396', '270', '271', '273']
['364', '274', '275', '277']
['332', '278', '279', '281']
['300', '282', '283', '285']
['268', '286', '287', '256']
['236', '230', '231', '233']
['204', '234', '235', '237']
['172', '238', '239', '241']
['140', '242', '243', '245']
['108', '246', '247', '249']
['76', '250', '251', '253']
['44', '254', '255', '224']
['12', '198', '199', '201']
['480', '202', '203', '205']
['460', '206', '207', '209']
['432', '210', '211', '213']
['400', '214', '215', '217']
['368', '218', '219', '221']
['336', '222', '223', '192']
['304', '166', '167', '169']
['272', '170', '171', '173']
['240', '174', '175', '177']
['208', '178', '179', '181']
['176', '182', '183', '185']
['144', '186', '187', '189']
['112', '190', '191', '160']
['80', '134', '135', '137']
['48', '138', '139', '141']
['16', '142', '143', '145']
['484', '146', '147', '149']
['452', '150', '151', '153']
['436', '154', '155', '157']
['404', '158', '159', '128']
['372', '102', '103', '105']
['340', '106', '107', '109']
['308', '110', '111', '113']
['276', '114', '115', '117']
['244', '118', '119', '121']
['212', '122', '123', '125']
['180', '126', '127', '96']
['148', '70', '71', '73']
['116', '74', '75', '77']
['84', '78', '79', '81']
['52', '82', '83', '85']
['20', '86', '87', '89']
['488', '90', '91', '93']
['456', '94', '95', '64']
['440', '38', '39', '41']
['408', '42', '43', '45']
['376', '46', '47', '49']
['344', '50', '51', '53']
['312', '54', '55', '57']
['280', '58', '59', '61']
['248', '62', '63', '32']
['216', '6', '7', '9']
['184', '10', '11', '13']
['152', '14', '15', '17']
['120', '18', '19', '21']
['88', '22', '23', '25']
['56', '26', '27', '29']
['24', '30', '31', '0']
