['14', '40', '62', '64', '69', '72', '73', '74', '83', '153', '200', '259', '280', '285', '286', '304', '313', '325', '349', '386', '3']
['17', '47', '65', '71', '86', '119', '130', '149', '156', '161', '163', '169', '179', '193', '201', '210', '237', '248', '257', '264', '269']
['9', '11', '23', '30', '34', '43', '80', '87', '92', '94', '99', '100', '109', '123', '138', '139', '143', '189', '195', '199', '205']
['10', '13', '35', '39', '48', '59', '91', '96', '112', '114', '117', '129', '137', '140', '146', '177', '197', '209', '222', '224', '234']
['44', '58', '68', '79', '84', '89', '106', '116', '131', '204', '208', '243', '258', '270', '276', '287', '296', '298', '300', '336', '346']
['21', '28', '31', '42', '46', '51', '53', '57', '67', '75', '77', '78', '97', '118', '133', '151', '152', '160', '162', '172', '174']
['294', '185', '191', '194', '213', '221', '240', '246', '247', '254', '265', '279', '283', '293', '329', '331', '337', '338', '339', '357', '359']
['319', '364', '393', '26', '52', '101', '103', '104', '121', '142', '145', '154', '155', '173', '198', '216', '272', '277', '292', '295', '334']
['383', '370', '385', '387', '37', '76', '227', '245', '253', '263', '299', '354', '389', '25', '36', '167', '180', '306', '316', '377', '361']
['290', '362', '382', '397', '18', '20', '63', '93', '120', '150', '175', '192', '214', '218', '220', '233', '256', '261', '321', '392', '82']
['353', '255', '271', '273', '282', '305', '317', '320', '345', '366', '368', '394', '400', '19', '32', '54', '55', '90', '95', '102', '111']
['147', '113', '128', '159', '187', '231', '241', '249', '301', '310', '327', '343', '344', '347', '348', '360', '33', '56', '98', '157', '170']
['215', '206', '230', '244', '363', '371', '379', '398', '16', '211', '236', '267', '297', '303', '308', '322', '323', '332', '340', '356', '365']
['217', '369', '375', '376', '378', '384', '391', '5', '6', '45', '60', '107', '108', '115', '125', '158', '186', '238', '239', '252', '268']
['390', '274', '284', '311', '333', '281', '330', '341', '352', '372', '381', '8', '12', '15', '41', '49', '124', '127', '135', '136', '144']
['302', '148', '165', '166', '168', '171', '184', '203', '207', '226', '260', '307', '309', '315', '328', '335', '342', '351', '355', '367', '374']
['358', '396', '399', '4', '61', '110', '126', '141', '164', '202', '242', '262', '291', '7', '22', '24', '50', '70', '81', '88', '105']
['275', '176', '178', '181', '182', '183', '188', '219', '223', '225', '229', '232', '235', '250', '266', '278', '288', '312', '314', '318', '324']
['350', '326', '373', '388', '1', '2', '29', '38', '66', '122', '132', '134', '190', '228', '289', '27', '196', '212', '251', '380', '85']
['395']
