['0', '1', '12', '14', '17', '25', '30', '32', '35', '39', '46', '47', '54', '55', '60', '69', '81', '88', '93', '101', '108', '119', '121', '126']
['2', '15', '26', '34', '40', '44', '48', '64', '76', '95', '103', '128', '135', '147', '153', '161', '179', '180', '202', '206', '209', '222', '234', '254']
['3', '8', '10', '11', '16', '19', '56', '58', '59', '73', '77', '84', '94', '102', '107', '131', '143', '146', '148', '149', '158', '167', '170', '182']
['4', '13', '18', '21', '23', '27', '37', '41', '43', '49', '61', '63', '67', '71', '83', '90', '91', '104', '110', '114', '115', '132', '138', '141']
['5', '24', '29', '36', '42', '51', '52', '66', '72', '75', '79', '85', '87', '89', '92', '96', '98', '99', '112', '116', '117', '122', '125', '127']
['6', '9', '20', '31', '50', '53', '57', '70', '78', '82', '97', '105', '109', '118', '120', '123', '129', '133', '144', '162', '163', '172', '191', '193']
['7', '22', '28', '33', '38', '45', '62', '65', '68', '74', '80', '86', '100', '106', '111', '113', '124', '130', '136', '145', '181', '184', '203', '218']
['461', '219', '221', '230', '231', '236', '245', '248', '251', '262', '264', '270', '279', '290', '291', '304', '315', '318', '327', '333', '335', '340', '350', '351']
['473', '358', '377', '385', '389', '400', '407', '424', '432', '446', '452', '471', '197', '243', '263', '266', '280', '282', '295', '302', '317', '319', '322', '356']
['476', '387', '403', '413', '419', '428', '430', '434', '439', '442', '445', '457', '134', '137', '140', '150', '151', '154', '156', '157', '159', '166', '168', '169']
['466', '174', '176', '187', '189', '192', '208', '212', '214', '215', '220', '223', '225', '226', '227', '244', '246', '249', '250', '252', '253', '255', '256', '257']
['460', '261', '269', '273', '275', '276', '278', '281', '284', '287', '289', '294', '299', '309', '311', '320', '323', '325', '331', '334', '344', '345', '346', '354']
['470', '359', '363', '369', '374', '379', '382', '386', '388', '391', '392', '398', '402', '410', '412', '423', '429', '431', '437', '447', '462', '463', '142', '152']
['479', '155', '165', '173', '177', '178', '183', '188', '196', '198', '207', '211', '217', '235', '239', '242', '268', '296', '297', '307', '308', '316', '321', '324']
['467', '328', '348', '360', '361', '364', '368', '383', '394', '397', '401', '408', '411', '416', '420', '441', '453', '455', '458', '459', '464', '185', '186', '194']
['475', '195', '199', '200', '204', '210', '216', '224', '229', '232', '233', '240', '241', '247', '259', '260', '267', '271', '277', '286', '298', '305', '306', '310']
['478', '312', '314', '338', '339', '343', '353', '357', '367', '372', '390', '396', '406', '414', '418', '422', '425', '440', '443', '448', '454', '465', '272', '274']
['474', '283', '285', '288', '293', '303', '326', '330', '332', '337', '341', '347', '362', '365', '366', '373', '376', '378', '381', '384', '405', '435', '438', '449']
['472', '450', '456', '139', '160', '164', '171', '175', '190', '201', '205', '213', '228', '237', '238', '258', '265', '292', '300', '301', '313', '329', '336', '342']
['477', '349', '352', '355', '370', '371', '375', '380', '393', '395', '399', '404', '409', '415', '417', '421', '426', '427', '433', '436', '444', '451', '468', '469']
