['gw', 'jw', 'ia', 'dm', 'db', 'dw', 'l', 'jp', 'bt', 'br']
['gx', 'iw', 'en', 'eq', 'er', 'it', 'bh', 'jn', 'cb', 'jk']
['gt', 'dh', 'df', 'kg', 'ea', 'bo', 'bx', 'c', 'jm', 'is']
['gs', 'dn', 'dy', 'dv', 'd', 'x', 'ei', 'jz', 'jv', 'bc']
['gr', 'gp', 'di', 'jq', 'et', 'jt', 'bv', 'bq', 'jl', 'ac']
['gq', 'ir', 'ez', 'js', 'jd', 'jo', 'jh', 'ce', 'ik', 'z']
['gz', 'go', 'gk', 'da', 'dp', 'ef', 'ep', 'bf', 'jc', 'ci']
['gy', 'gd', 'dq', 'ev', 'cg', 'ih', 'af', 'ak', 'fr', 'fu']
['gg', 'de', 'ex', 'g', 'ck', 'cn', 'hs', 'hk', 'f', 'ix']
['gf', 'gi', 'gh', 'dg', 'ds', 'eb', 'jr', 'es', 'bm', 'bk']
['ge', 'n', 'ab', 'fq', 'fd', 'fm', 'kh', 'dk', 'ha', 'ae']
['gc', 'gn', 'dt', 'eg', 'ew', 'bz', 'o', 'iq', 'jb', 'hr']
['ga', 'el', 'eo', 'ec', 'be', 'ba', 'bl', 'co', 'cc', 'cs']
['gj', 'at', 'ax', 'ig', 'fv', 'fl', 'kb', 'hx', 'fi', 'iy']
['do', 'eh', 'bb', 'bn', 'cl', 'cu', 'kk', 'ai', 'an', 'ar']
['dc', 'h', 'ee', 'bi', 'w', 'ch', 'jy', 'ht', 'hn', 'he']
['du', 'hz', 'v', 'fn', 'kj', 'bj', 'bu', 'cy', 'ct', 'hp']
['bs', 'ap', 'in', 'fj', 'e', 'ke', 'dd', 'p', 'em', 'ju']
['hl', 'bd', 'iu', 'as', 'cv', 'jf', 'cj', 'cw', 'hi', 'hm']
['hd', 'ad', 'eu', 'by', 'hh', 'am', 'fh', 'km', 'dj', 'k']
['a', 'ay', 'fo', 'jj', 'kn', 'gm', 'dr', 'ca', 'io', 'ip']
['q', 'il', 'ao', 'kd', 'iz', 'gb', 'gl', 'cp', 'j', 'r']
['ed', 'aq', 'if', 'y', 'av', 'ic', 'fk', 'm', 't', 'ej']
['hf', 'al', 'aw', 'fp', 'fs', 'fw', 'fg', 'u', 'fy', 'bw']
['cm', 'bp', 'jg', 's', 'hq', 'ho', 'ag', 'ie', 'fx', 'fa']
['fz', 'i', 'dl', 'kc', 'hc', 'au', 'fc', 'ji', 'hu', 'cr']
['az', 'ka', 'ah', 'zz', 'fb', 'ff', 'gu', 'dz', 'dx', 'cf']
['hb', 'hv', 'hj', 'ib', 'je', 'iv', 'cd', 'cz', 'cx', 'cq']
['kl', 'hy', 'hw', 'b', 'im', 'aa', 'aj', 'fe', 'ki', 'gv']
['kf', 'ek', 'ey', 'bg', 'jx', 'ja', 'hg', 'ii', 'ij', 'ft']
