['0', '25', '28', '52', '53']
['1', '4', '6', '10', '18']
['2', '5', '13', '15', '17']
['3', '32', '47', '55', '56']
['7', '11', '16', '27', '42']
['8', '35', '84', '86', '87']
['9', '39', '79', '90', '93']
['12', '22', '36', '37', '45']
['14', '38', '58', '59', '60']
['410', '65', '92', '94', '101']
['369', '106', '107', '109', '117']
['433', '120', '126', '131', '132']
['402', '138', '146', '150', '157']
['418', '170', '171', '172', '182']
['405', '185', '190', '218', '222']
['423', '224', '232', '236', '249']
['400', '260', '262', '264', '269']
['393', '273', '274', '280', '291']
['419', '299', '312', '315', '337']
['379', '340', '347', '350', '351']
['441', '355', '357', '364', '376']
['411', '381', '385', '386', '390']
['422', '392', '406', '407', '408']
['409', '424', '430', '51', '71']
['425', '77', '78', '81', '102']
['446', '111', '121', '127', '161']
['427', '194', '196', '202', '212']
['421', '217', '228', '231', '251']
['397', '252', '256', '272', '279']
['443', '283', '288', '295', '301']
['417', '302', '304', '314', '316']
['439', '320', '324', '331', '344']
['415', '349', '352', '359', '360']
['435', '361', '394', '110', '125']
['453', '128', '129', '144', '148']
['429', '154', '168', '175', '187']
['426', '211', '216', '225', '234']
['414', '238', '247', '265', '276']
['448', '290', '292', '306', '319']
['431', '334', '348', '353', '370']
['452', '372', '375', '378', '380']
['438', '388', '395', '412', '416']
['454', '88', '89', '133', '139']
['455', '140', '152', '155', '167']
['451', '188', '205', '227', '230']
['432', '235', '239', '259', '297']
['428', '339', '341', '345', '346']
['466', '362', '391', '44', '46']
['434', '54', '57', '70', '72']
['456', '96', '97', '103', '105']
['440', '113', '116', '136', '137']
['476', '173', '174', '183', '210']
['461', '213', '215', '226', '242']
['460', '243', '263', '266', '267']
['437', '270', '281', '282', '287']
['436', '313', '338', '371', '374']
['473', '389', '396', '398', '399']
['447', '403', '413', '420', '66']
['470', '67', '74', '82', '83']
['442', '98', '100', '104', '134']
['483', '145', '147', '151', '158']
['465', '159', '163', '166', '186']
['464', '192', '193', '199', '200']
['444', '220', '221', '245', '255']
['445', '286', '296', '298', '300']
['480', '318', '323', '330', '354']
['450', '363', '365', '382', '387']
['475', '19', '20', '24', '29']
['457', '31', '41', '43', '61']
['485', '63', '73', '75', '76']
['467', '80', '112', '115', '119']
['468', '124', '135', '143', '149']
['459', '156', '164', '165', '177']
['449', '179', '180', '198', '201']
['488', '203', '204', '207', '214']
['458', '219', '240', '241', '253']
['481', '271', '285', '303', '305']
['477', '307', '308', '309', '311']
['486', '317', '321', '322', '325']
['484', '326', '328', '335', '343']
['472', '358', '367', '368', '373']
['469', '21', '23', '26', '30']
['463', '33', '34', '40', '48']
['492', '49', '50', '62', '64']
['462', '69', '95', '99', '108']
['482', '130', '153', '160', '169']
['487', '178', '184', '189', '191']
['491', '209', '237', '246', '248']
['493', '250', '257', '258', '261']
['474', '275', '277', '284', '293']
['471', '327', '332', '333', '336']
['478', '342', '356', '366', '377']
['497', '383', '384', '401', '404']
['489', '68', '85', '91', '114']
['494', '118', '122', '123', '141']
['490', '142', '162', '176', '181']
['496', '195', '197', '206', '208']
['498', '223', '229', '233', '244']
['479', '254', '268', '278', '289']
['499', '294', '310', '329']
['495']
