['a300', 'a207', 'a133', 'a191', 'a143', 'a132', 'a378', 'a116', 'a388', 'a291', 'a293', 'a273', 'a115', 'a20', 'a377', 'a389', 'a242', 'a94', 'a124', 'a295']
['a390', 'a150', 'a155', 'a352', 'a393', 'a189', 'a111', 'a121', 'a317', 'a89', 'a38', 'a201', 'a93', 'a395', 'a337', 'a23', 'a141', 'a12', 'a264', 'a394']
['a250', 'a55', 'a61', 'a75', 'a76', 'a314', 'a230', 'a374', 'a246', 'a259', 'a49', 'a272', 'a30', 'a283', 'a52', 'a92', 'a137', 'a153', 'a193', 'a350']
['a202', 'a218', 'a130', 'a81', 'a398', 'a316', 'a127', 'a353', 'a157', 'a270', 'a325', 'a257', 'a56', 'a84', 'a167', 'a175', 'a245', 'a180', 'a214', 'a102']
['a321', 'a169', 'a147', 'a101', 'a258', 'a251', 'a307', 'a372', 'a343', 'a129', 'a379', 'a205', 'a265', 'a262', 'a160', 'a31', 'a134', 'a6', 'a117', 'a35']
['a342', 'a213', 'a241', 'a256', 'a271', 'a332', 'a123', 'a303', 'a363', 'a8', 'a28', 'a158', 'a128', 'a299', 'a285', 'a183', 'a91', 'a34', 'a341', 'a79']
['a215', 'a156', 'a110', 'a284', 'a255', 'a320', 'a174', 'a65', 'a95', 'a347', 'a4', 'a217', 'a282', 'a286', 'a200', 'a9', 'a229', 'a42', 'a171', 'a203']
['a277', 'a359', 'a369', 'a297', 'a106', 'a252', 'a0', 'a113', 'a162', 'a57', 'a380', 'a164', 'a336', 'a40', 'a185', 'a228', 'a77', 'a371', 'a60', 'a186']
['a48', 'a211', 'a44', 'a204', 'a304', 'a208', 'a18', 'a351', 'a238', 'a152', 'a360', 'a63', 'a387', 'a331', 'a78', 'a356', 'a345', 'a109', 'a21', 'a248']
['a3', 'a373', 'a122', 'a98', 'a105', 'a396', 'a118', 'a14', 'a195', 'a33', 'a198', 'a100', 'a357', 'a319', 'a135', 'a97', 'a58', 'a315', 'a322', 'a13']
['a41', 'a179', 'a51', 'a196', 'a120', 'a145', 'a392', 'a140', 'a188', 'a253', 'a354', 'a376', 'a181', 'a365', 'a64', 'a148', 'a163', 'a194', 'a375', 'a32']
['a397', 'a386', 'a151', 'a27', 'a107', 'a74', 'a225', 'a244', 'a139', 'a301', 'a235', 'a221', 'a17', 'a306', 'a159', 'a71', 'a231', 'a266', 'a131', 'a329']
['a368', 'a224', 'a355', 'a66', 'a212', 'a243', 'a391', 'a119', 'a339', 'a318', 'a385', 'a70', 'a90', 'a144', 'a338', 'a274', 'a288', 'a54', 'a292', 'a43']
['a268', 'a39', 'a310', 'a161', 'a263', 'a330', 'a281', 'a112', 'a334', 'a327', 'a154', 'a136', 'a254', 'a276', 'a236', 'a53', 'a324', 'a312', 'a85', 'a340']
['a305', 'a25', 'a323', 'a177', 'a313', 'a223', 'a199', 'a104', 'a335', 'a302', 'a192', 'a233', 'a166', 'a83', 'a287', 'a366', 'a126', 'a362', 'a348', 'a358']
['a47', 'a210', 'a279', 'a67', 'a16', 'a50', 'a298', 'a278', 'a87', 'a289', 'a326', 'a219', 'a267', 'a29', 'a249', 'a361', 'a367', 'a11', 'a7', 'a149']
['a209', 'a216', 'a82', 'a146', 'a399', 'a346', 'a190', 'a383', 'a226', 'a69', 'a15', 'a187', 'a182', 'a381', 'a108', 'a237', 'a59', 'a99', 'a309', 'a220']
['a294', 'a261', 'a170', 'a114', 'a125', 'a80', 'a227', 'a19', 'a165', 'a173', 'a5', 'a308', 'a168', 'a333', 'a290', 'a344', 'a280', 'a364', 'a311', 'a86']
['a222', 'a22', 'a172', 'a184', 'a384', 'a37', 'a96', 'a88', 'a138', 'a296', 'a370', 'a247', 'a45', 'a239', 'a382', 'a68', 'a103', 'a260', 'a1', 'a269']
['a73', 'a46', 'a275', 'a328', 'a176', 'a2', 'a349', 'a178', 'a24', 'a62', 'a36', 'a232', 'a234', 'a142', 'a26', 'a197', 'a10', 'a206', 'a240', 'a72']
