['s435', 's191', 's74', 's79', 's302', 's44', 's391', 's140', 's215', 's197']
['s60', 's257', 's380', 's368', 's97', 's178', 's48', 's211', 's465', 's455']
['s103', 's376', 's270', 's480', 's19', 's466', 's337', 's483', 's194', 's220']
['s301', 's104', 's469', 's365', 's429', 's460', 's372', 's76', 's17', 's261']
['s291', 's45', 's52', 's357', 's107', 's428', 's217', 's436', 's173', 's56']
['s294', 's491', 's417', 's241', 's190', 's134', 's330', 's46', 's246', 's245']
['s381', 's47', 's93', 's350', 's374', 's142', 's151', 's114', 's497', 's72']
['s421', 's493', 's131', 's447', 's210', 's168', 's273', 's364', 's449', 's22']
['s346', 's238', 's400', 's206', 's326', 's11', 's354', 's467', 's456', 's375']
['s59', 's83', 's416', 's145', 's205', 's359', 's446', 's183', 's356', 's165']
['s55', 's157', 's377', 's12', 's369', 's242', 's345', 's24', 's387', 's358']
['s1', 's148', 's150', 's287', 's297', 's175', 's68', 's295', 's317', 's304']
['s96', 's130', 's75', 's10', 's490', 's230', 's37', 's8', 's91', 's33']
['s360', 's286', 's233', 's451', 's27', 's181', 's335', 's35', 's362', 's288']
['s137', 's344', 's444', 's494', 's25', 's397', 's170', 's192', 's6', 's87']
['s472', 's249', 's89', 's29', 's280', 's427', 's0', 's353', 's155', 's174']
['s384', 's204', 's113', 's303', 's195', 's392', 's123', 's247', 's259', 's492']
['s309', 's324', 's219', 's109', 's305', 's443', 's213', 's164', 's70', 's125']
['s313', 's221', 's50', 's117', 's433', 's21', 's82', 's415', 's127', 's296']
['s476', 's410', 's471', 's30', 's437', 's189', 's386', 's167', 's133', 's404']
['s314', 's147', 's121', 's38', 's196', 's278', 's267', 's85', 's222', 's9']
['s323', 's440', 's499', 's407', 's306', 's450', 's118', 's176', 's250', 's371']
['s425', 's338', 's119', 's132', 's58', 's177', 's363', 's143', 's373', 's172']
['s361', 's223', 's277', 's231', 's413', 's312', 's236', 's42', 's311', 's285']
['s488', 's201', 's235', 's39', 's393', 's43', 's4', 's214', 's13', 's352']
['s244', 's442', 's253', 's325', 's334', 's412', 's477', 's269', 's84', 's67']
['s366', 's432', 's405', 's208', 's319', 's470', 's385', 's389', 's94', 's126']
['s290', 's135', 's146', 's475', 's382', 's406', 's20', 's300', 's255', 's15']
['s409', 's180', 's159', 's51', 's379', 's200', 's226', 's224', 's156', 's276']
['s411', 's485', 's95', 's398', 's370', 's474', 's448', 's34', 's153', 's320']
['s479', 's78', 's209', 's463', 's441', 's256', 's102', 's453', 's426', 's431']
['s349', 's275', 's464', 's188', 's347', 's16', 's54', 's355', 's394', 's336']
['s316', 's124', 's2', 's92', 's299', 's383', 's462', 's396', 's112', 's262']
['s272', 's408', 's139', 's282', 's260', 's28', 's248', 's239', 's99', 's310']
['s227', 's36', 's265', 's73', 's339', 's399', 's439', 's378', 's473', 's120']
['s111', 's193', 's348', 's61', 's258', 's390', 's332', 's496', 's26', 's240']
['s254', 's101', 's69', 's322', 's321', 's252', 's186', 's234', 's100', 's271']
['s232', 's169', 's154', 's251', 's420', 's487', 's62', 's284', 's367', 's203']
['s424', 's166', 's57', 's419', 's243', 's105', 's225', 's65', 's331', 's207']
['s229', 's115', 's281', 's263', 's486', 's32', 's116', 's198', 's185', 's49']
['s98', 's80', 's482', 's298', 's129', 's86', 's283', 's158', 's122', 's430']
['s489', 's459', 's266', 's495', 's41', 's218', 's315', 's31', 's264', 's341']
['s454', 's136', 's14', 's293', 's328', 's161', 's274', 's468', 's23', 's422']
['s141', 's457', 's71', 's187', 's160', 's179', 's461', 's329', 's18', 's327']
['s458', 's445', 's237', 's289', 's90', 's212', 's438', 's138', 's401', 's199']
['s434', 's3', 's216', 's340', 's40', 's307', 's351', 's292', 's333', 's279']
['s163', 's149', 's414', 's395', 's342', 's171', 's202', 's388', 's66', 's64']
['s110', 's268', 's81', 's108', 's481', 's423', 's88', 's403', 's402', 's184']
['s343', 's144', 's63', 's452', 's498', 's418', 's182', 's162', 's7', 's228']
['s484', 's77', 's308', 's318', 's5', 's478', 's106', 's128']
['s53']
['s152']
