['a0', 'a6', 'a9', 'a7', 'a1', 'a4', 'a2', 'a5', 'a8', 'a135']
['a10', 'a11', 'a13', 'a69', 'a19', 'a15', 'a14', 'a16', 'a61', 'a63']
['a12', 'a198', 'a193', 'a197', 'a98', 'a83', 'a206', 'a92', 'a207', 'a60']
['a20', 'a24', 'a28', 'a27', 'a29', 'a22', 'a25', 'a26', 'a23', 'a163']
['a30', 'a38', 'a33', 'a34', 'a36', 'a37', 'a32', 'a35', 'a39', 'a3']
['a40', 'a49', 'a42', 'a41', 'a47', 'a48', 'a43', 'a44', 'a21', 'a31']
['a50', 'a56', 'a57', 'a54', 'a55', 'a52', 'a58', 'a51', 'a59', 'a45']
['a70', 'a77', 'a72', 'a76', 'a73', 'a71', 'a78', 'a74', 'a75', 'a46']
['a100', 'a106', 'a103', 'a109', 'a108', 'a107', 'a104', 'a105', 'a53', 'a79']
['a110', 'a116', 'a114', 'a115', 'a118', 'a119', 'a111', 'a112', 'a117', 'a101']
['a120', 'a127', 'a126', 'a124', 'a122', 'a123', 'a102', 'a113', 'a121', 'a136']
['a125', 'a129', 'a128', 'a137', 'a142', 'a153', 'a162', 'a179', 'a184', 'a217']
['a130', 'a134', 'a133', 'a138', 'a139', 'a132', 'a131', 'a223', 'a237', 'a244']
['a140', 'a144', 'a141', 'a146', 'a67', 'a62', 'a196', 'a194', 'a90', 'a190']
['a145', 'a148', 'a143', 'a147', 'a149', 'a192', 'a86', 'a95', 'a80', 'a84']
['a150', 'a155', 'a157', 'a152', 'a151', 'a158', 'a159', 'a87', 'a82', 'a89']
['a156', 'a154', 'a191', 'a96', 'a99', 'a203', 'a200', 'a202', 'a209', 'a208']
['a160', 'a165', 'a164', 'a161', 'a169', 'a167', 'a166', 'a168', 'a65', 'a68']
['a170', 'a175', 'a173', 'a171', 'a178', 'a176', 'a172', 'a174', 'a177', 'a81']
['a180', 'a183', 'a185', 'a181', 'a189', 'a182', 'a188', 'a187', 'a186', 'a18']
['a210', 'a211', 'a218', 'a216', 'a214', 'a212', 'a215', 'a213', 'a219', 'a88']
['a220', 'a222', 'a227', 'a225', 'a221', 'a226', 'a224', 'a229', 'a228', 'a204']
['a230', 'a235', 'a239', 'a234', 'a231', 'a238', 'a233', 'a232', 'a236', 'a17']
['a240', 'a248', 'a243', 'a241', 'a242', 'a249', 'a246', 'a247', 'a201', 'a66']
['a245', 'a64', 'a85', 'a91', 'a97', 'a94', 'a93', 'a195', 'a199', 'a205']
