['0', '2', '7', '10', '22', '28', '34', '35', '38', '45', '54']
['1', '4', '5', '17', '19', '20', '21', '30', '40', '43', '47']
['3', '8', '12', '15', '23', '31', '32', '37', '48', '49', '73']
['6', '16', '25', '27', '29', '41', '42', '50', '58', '59', '60']
['9', '11', '18', '33', '56', '57', '66', '75', '82', '86', '89']
['13', '14', '24', '26', '36', '39', '44', '46', '51', '53', '63']
['467', '65', '71', '85', '94', '98', '99', '101', '102', '107', '108']
['474', '117', '122', '123', '125', '141', '147', '158', '159', '168', '179']
['445', '180', '184', '186', '202', '211', '216', '219', '222', '247', '260']
['465', '261', '262', '264', '271', '279', '282', '283', '297', '299', '304']
['452', '308', '309', '311', '313', '318', '330', '350', '358', '362', '366']
['424', '372', '385', '388', '401', '419', '422', '92', '96', '97', '100']
['471', '105', '115', '118', '124', '127', '129', '133', '135', '138', '139']
['475', '143', '144', '151', '153', '154', '156', '162', '165', '172', '173']
['446', '182', '193', '194', '199', '206', '208', '215', '230', '237', '243']
['473', '244', '248', '251', '254', '263', '269', '275', '278', '285', '293']
['468', '301', '306', '310', '312', '315', '317', '325', '334', '344', '348']
['428', '352', '364', '367', '374', '380', '384', '386', '389', '390', '393']
['476', '404', '411', '414', '415', '418', '431', '442', '447', '459', '61']
['477', '62', '64', '70', '74', '88', '91', '95', '106', '109', '110']
['457', '136', '137', '140', '148', '150', '157', '160', '164', '171', '175']
['479', '177', '190', '191', '195', '204', '205', '207', '209', '213', '218']
['470', '226', '233', '242', '245', '253', '257', '259', '272', '281', '284']
['435', '289', '292', '296', '303', '305', '307', '319', '320', '323', '326']
['480', '327', '335', '336', '337', '338', '339', '343', '347', '354', '355']
['481', '363', '370', '376', '381', '396', '400', '409', '412', '417', '423']
['463', '429', '430', '432', '434', '438', '440', '444', '449', '451', '77']
['482', '83', '104', '114', '116', '119', '130', '131', '146', '167', '187']
['472', '196', '197', '210', '217', '220', '221', '223', '232', '235', '236']
['436', '238', '241', '246', '255', '268', '270', '274', '287', '288', '300']
['489', '328', '331', '332', '357', '373', '379', '387', '394', '397', '399']
['483', '402', '403', '52', '69', '72', '76', '80', '103', '111', '113']
['478', '120', '134', '142', '152', '174', '176', '181', '183', '185', '188']
['485', '189', '200', '201', '212', '214', '224', '228', '234', '250', '252']
['490', '256', '265', '286', '291', '294', '298', '321', '329', '341', '342']
['437', '346', '351', '356', '360', '377', '407', '410', '413', '416', '425']
['492', '427', '450', '454', '458', '462', '464', '55', '67', '68', '78']
['484', '79', '81', '84', '87', '90', '93', '112', '121', '126', '128']
['488', '132', '145', '149', '155', '161', '163', '166', '169', '170', '178']
['487', '192', '198', '203', '225', '227', '229', '231', '239', '240', '249']
['496', '258', '266', '267', '273', '276', '277', '280', '290', '295', '302']
['466', '314', '316', '322', '324', '333', '340', '345', '349', '353', '359']
['494', '361', '365', '368', '369', '371', '375', '378', '382', '383', '391']
['486', '392', '395', '398', '405', '406', '408', '420', '421', '426', '433']
['491', '439', '441', '443', '448', '453', '455', '456', '460', '461', '469']
['499']
['498']
['495']
['497']
['493']
