['1', '14', '16', '18', '21', '28', '29', '37', '39', '50', '58', '62', '67', '71', '74', '77', '78', '79', '84', '85', '89', '102', '104']
['2', '4', '11', '17', '26', '31', '35', '38', '42', '47', '52', '64', '68', '73', '75', '80', '81', '82', '83', '86', '91', '94', '100']
['3', '5', '6', '9', '13', '15', '23', '24', '33', '36', '40', '43', '44', '45', '49', '55', '63', '70', '72', '87', '90', '95', '99']
['7', '10', '20', '25', '27', '30', '32', '34', '41', '46', '56', '57', '65', '66', '88', '92', '96', '97', '125', '129', '130', '136', '145']
['8', '12', '19', '22', '48', '51', '53', '54', '59', '60', '61', '69', '76', '93', '98', '105', '112', '113', '120', '127', '137', '166', '169']
['474', '171', '174', '179', '185', '186', '188', '195', '198', '216', '220', '223', '226', '227', '234', '251', '253', '257', '265', '270', '277', '278', '288']
['459', '295', '323', '330', '333', '335', '357', '362', '365', '373', '377', '378', '379', '383', '389', '397', '398', '407', '411', '417', '424', '425', '428']
['467', '431', '435', '440', '441', '442', '453', '455', '466', '150', '151', '154', '163', '181', '187', '202', '203', '205', '210', '213', '214', '244', '245']
['475', '249', '260', '262', '271', '272', '276', '280', '283', '284', '291', '292', '294', '296', '298', '300', '304', '306', '311', '317', '319', '342', '343']
['472', '352', '353', '355', '359', '360', '364', '368', '370', '372', '374', '380', '381', '384', '392', '396', '399', '400', '402', '404', '405', '408', '409']
['478', '412', '413', '419', '430', '439', '450', '451', '464', '465', '103', '110', '114', '118', '121', '122', '123', '124', '126', '134', '135', '142', '143']
['468', '147', '149', '152', '156', '157', '165', '167', '173', '175', '191', '207', '212', '215', '218', '221', '228', '231', '236', '240', '243', '246', '263']
['479', '266', '267', '268', '273', '281', '286', '287', '289', '290', '301', '303', '305', '307', '313', '318', '325', '327', '328', '329', '334', '340', '341']
['482', '345', '349', '350', '358', '361', '366', '367', '386', '388', '394', '403', '406', '420', '423', '432', '438', '448', '461', '469', '471', '101', '111']
['477', '115', '116', '117', '119', '128', '138', '139', '140', '144', '148', '158', '159', '160', '161', '162', '168', '170', '172', '178', '192', '193', '197']
['480', '199', '204', '206', '209', '211', '222', '233', '235', '247', '256', '259', '264', '279', '293', '297', '299', '308', '310', '312', '316', '331', '332']
['473', '338', '339', '344', '346', '347', '348', '371', '376', '385', '387', '393', '410', '415', '421', '422', '427', '429', '446', '447', '449', '454', '460']
['483', '462', '463', '470', '106', '107', '108', '109', '131', '132', '133', '141', '146', '153', '155', '164', '176', '177', '180', '182', '183', '184', '189']
['484', '190', '194', '196', '200', '201', '208', '217', '219', '224', '225', '229', '230', '232', '237', '238', '239', '241', '242', '248', '250', '252', '254']
['485', '255', '258', '261', '269', '274', '275', '282', '285', '302', '309', '314', '315', '320', '321', '322', '324', '326', '336', '337', '351', '354', '356']
['481', '363', '369', '375', '382', '390', '391', '395', '401', '414', '416', '418', '426', '433', '434', '436', '437', '443', '444', '445', '452', '456', '457']
['476', '458']
