['0', '463', '2']
['1', '59', '8']
['3', '397', '146']
['4', '15', '234']
['5', '162', '298']
['6', '442', '228']
['7', '254', '131']
['10', '183', '9']
['12', '452', '429']
['13', '253', '406']
['14', '31', '129']
['18', '174', '185']
['19', '145', '40']
['20', '34', '448']
['21', '306', '390']
['22', '396', '39']
['23', '445', '11']
['25', '154', '474']
['26', '95', '33']
['27', '170', '108']
['28', '177', '16']
['29', '140', '17']
['30', '485', '334']
['32', '415', '78']
['35', '428', '24']
['36', '73', '46']
['37', '391', '102']
['38', '370', '297']
['41', '206', '87']
['42', '136', '49']
['43', '489', '52']
['44', '77', '103']
['45', '412', '124']
['50', '106', '420']
['51', '435', '53']
['55', '417', '455']
['56', '362', '282']
['58', '422', '213']
['66', '472', '239']
['71', '156', '54']
['76', '224', '57']
['83', '273', '199']
['84', '426', '255']
['85', '243', '60']
['89', '169', '61']
['91', '133', '63']
['94', '153', '67']
['98', '478', '68']
['107', '498', '69']
['112', '380', '499']
['114', '236', '207']
['126', '132', '70']
['127', '161', '359']
['134', '351', '72']
['141', '484', '367']
['155', '196', '361']
['160', '413', '74']
['165', '274', '75']
['172', '453', '330']
['173', '270', '81']
['201', '456', '414']
['205', '372', '82']
['225', '395', '90']
['227', '374', '92']
['235', '258', '93']
['241', '394', '250']
['246', '365', '96']
['269', '308', '401']
['279', '347', '99']
['283', '447', '101']
['284', '451', '104']
['303', '313', '111']
['352', '482', '115']
['382', '384', '119']
['383', '408', '120']
['405', '421', '121']
['439', '490', '130']
['142', '137', '144']
['149', '148', '151']
['163', '157', '166']
['168', '167', '175']
['178', '176', '179']
['184', '180', '186']
['189', '187', '190']
['192', '493', '231']
['195', '411', '476']
['197', '249', '464']
['202', '423', '475']
['203', '314', '109']
['204', '194', '216']
['208', '260', '349']
['209', '496', '65']
['214', '86', '400']
['215', '399', '100']
['217', '212', '385']
['219', '210', '222']
['221', '488', '247']
['223', '450', '318']
['226', '220', '171']
['229', '339', '324']
['232', '364', '470']
['237', '150', '286']
['238', '191', '373']
['240', '418', '388']
['244', '139', '337']
['245', '118', '348']
['248', '193', '281']
['251', '290', '310']
['252', '378', '64']
['257', '480', '416']
['259', '319', '299']
['261', '117', '159']
['263', '122', '147']
['264', '152', '285']
['266', '256', '188']
['267', '304', '438']
['272', '198', '354']
['275', '434', '360']
['276', '469', '427']
['277', '454', '116']
['280', '392', '123']
['287', '230', '262']
['289', '307', '325']
['291', '425', '407']
['293', '321', '135']
['294', '403', '80']
['295', '363', '97']
['296', '88', '182']
['301', '113', '181']
['302', '355', '460']
['305', '316', '79']
['309', '268', '419']
['312', '446', '495']
['315', '48', '128']
['317', '143', '292']
['322', '200', '492']
['323', '471', '468']
['326', '271', '350']
['327', '288', '343']
['328', '441', '300']
['329', '62', '138']
['331', '110', '465']
['332', '278', '389']
['333', '404', '320']
['335', '218', '233']
['336', '47', '164']
['338', '125', '105']
['340', '311', '158']
['341', '211', '481']
['342', '242', '265']
['344']
['345']
['346']
['353']
['356']
['357']
['358']
['366']
['368']
['369']
['371']
['375']
['376']
['377']
['379']
['381']
['386']
['387']
['393']
['398']
['402']
['409']
['410']
['424']
['430']
['431']
['432']
['433']
['436']
['437']
['440']
['443']
['444']
['449']
['457']
['458']
['459']
['461']
['462']
['466']
['467']
['473']
['477']
['479']
['483']
['486']
['487']
['491']
['494']
['497']
