['0', '81', '86', '91', '96', '101', '106', '111', '116', '121', '126', '131', '136', '141', '146']
['1', '151', '156', '161', '166', '171', '176', '181', '186', '191', '196', '201', '206', '211', '216']
['2', '7', '12', '17', '22', '27', '32', '37', '42', '47', '52', '57', '62', '67', '72']
['3', '8', '13', '18', '23', '28', '33', '38', '43', '48', '53', '58', '63', '68', '73']
['4', '9', '14', '19', '24', '29', '34', '39', '44', '49', '54', '59', '64', '69', '74']
['5', '10', '15', '20', '25', '30', '35', '40', '45', '50', '55', '60', '65', '70', '75']
['6', '11', '16', '21', '26', '31', '36', '41', '46', '51', '56', '61', '66', '71', '76']
['296', '221', '226', '231', '236', '241', '246', '251', '256', '261', '266', '271', '276', '281', '286']
['295', '291', '80', '85', '90', '95', '100', '105', '110', '115', '120', '125', '130', '135', '140']
['294', '145', '150', '155', '160', '165', '170', '175', '180', '185', '190', '195', '200', '205', '210']
['293', '215', '220', '225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280']
['292', '285', '290', '79', '84', '89', '94', '99', '104', '109', '114', '119', '124', '129', '134']
['301', '139', '144', '149', '154', '159', '164', '169', '174', '179', '184', '189', '194', '199', '204']
['300', '209', '214', '219', '224', '229', '234', '239', '244', '249', '254', '259', '264', '269', '274']
['299', '279', '284', '289', '78', '83', '88', '93', '98', '103', '108', '113', '118', '123', '128']
['298', '133', '138', '143', '148', '153', '158', '163', '168', '173', '178', '183', '188', '193', '198']
['297', '203', '208', '213', '218', '223', '228', '233', '238', '243', '248', '253', '258', '263', '268']
['306', '273', '278', '283', '288', '77', '82', '87', '92', '97', '102', '107', '112', '117', '122']
['305', '127', '132', '137', '142', '147', '152', '157', '162', '167', '172', '177', '182', '187', '192']
['304', '197', '202', '207', '212', '217', '222', '227', '232', '237', '242', '247', '252', '257', '262']
['303', '267', '272', '277', '282', '287']
['302']
