['0', '3', '5', '13', '15', '16', '18', '28', '38', '42', '47', '48', '50', '60', '65', '76', '79', '80', '81', '82', '85', '93', '103', '115', '127']
['1', '2', '11', '14', '21', '30', '34', '36', '40', '66', '69', '71', '88', '95', '96', '98', '100', '101', '105', '110', '119', '133', '139', '143', '148']
['4', '6', '9', '24', '29', '35', '49', '59', '64', '72', '83', '117', '126', '135', '136', '140', '152', '154', '155', '181', '247', '248', '255', '265', '268']
['7', '23', '27', '31', '32', '37', '43', '45', '52', '53', '56', '58', '62', '63', '73', '94', '97', '107', '116', '120', '128', '141', '145', '163', '170']
['8', '10', '12', '19', '20', '22', '25', '33', '44', '46', '54', '55', '67', '84', '86', '90', '99', '102', '104', '111', '113', '118', '121', '122', '124']
['17', '26', '51', '57', '61', '68', '70', '74', '77', '78', '91', '92', '106', '108', '112', '123', '125', '156', '159', '161', '162', '164', '169', '180', '202']
['39', '41', '75', '87', '89', '109', '114', '137', '138', '150', '151', '165', '172', '182', '186', '205', '216', '217', '222', '242', '243', '245', '250', '257', '276']
['487', '279', '290', '294', '304', '317', '318', '328', '348', '356', '365', '371', '385', '391', '393', '417', '432', '454', '466', '206', '213', '214', '228', '241', '284']
['372', '298', '299', '306', '311', '314', '333', '347', '361', '362', '367', '368', '370', '374', '375', '376', '378', '386', '405', '407', '408', '425', '438', '452', '456']
['490', '464', '467', '469', '129', '130', '131', '146', '147', '167', '168', '171', '183', '190', '191', '194', '208', '215', '218', '220', '230', '234', '235', '244', '258']
['491', '275', '283', '285', '292', '297', '310', '312', '320', '324', '325', '326', '327', '331', '332', '338', '343', '350', '360', '377', '381', '394', '410', '416', '418']
['489', '427', '436', '437', '470', '475', '476', '480', '482', '483', '494', '200', '179', '193', '196', '199', '203', '204', '207', '211', '212', '221', '223', '226', '236']
['496', '237', '246', '251', '252', '256', '262', '263', '267', '270', '273', '277', '281', '287', '291', '293', '302', '303', '322', '337', '340', '353', '366', '383', '390']
['486', '409', '420', '424', '429', '434', '440', '441', '442', '447', '448', '449', '468', '471', '478', '485', '288', '296', '305', '307', '319', '323', '329', '346', '351']
['498', '354', '357', '358', '363', '380', '399', '400', '403', '431', '450', '458', '460', '462', '465', '473', '149', '158', '160', '173', '177', '184', '185', '187', '224']
['388', '231', '232', '233', '238', '240', '253', '254', '264', '271', '280', '289', '300', '308', '309', '313', '316', '321', '334', '336', '342', '345', '349', '373', '379']
['495', '387', '389', '396', '411', '412', '415', '419', '421', '422', '423', '426', '428', '433', '443', '444', '445', '446', '455', '457', '459', '461', '474', '479', '488']
['497', '132', '134', '142', '144', '153', '157', '166', '174', '175', '176', '178', '188', '189', '192', '195', '197', '198', '201', '209', '210', '219', '225', '227', '229']
['493', '239', '249', '259', '260', '261', '266', '269', '272', '274', '278', '282', '286', '295', '301', '315', '330', '335', '339', '341', '344', '352', '355', '359', '364']
['499', '369', '382', '384', '392', '395', '397', '398', '401', '402', '404', '406', '413', '414', '430', '435', '439', '451', '453', '463', '472', '477', '481', '484', '492']
