['0', '1', '2', '14', '18', '19', '20', '25', '29', '31', '33', '34', '37', '38', '45', '60']
['3', '4', '5', '6', '7', '8', '10', '11', '12', '13', '15', '16', '21', '23', '24', '26']
['9', '17', '22', '30', '40', '41', '44', '46', '48', '51', '52', '54', '58', '62', '67', '75']
['27', '32', '47', '49', '56', '66', '73', '77', '79', '82', '87', '88', '91', '101', '109', '112']
['235', '114', '122', '123', '128', '129', '136', '142', '144', '146', '151', '157', '158', '161', '167', '173']
['244', '176', '178', '182', '183', '184', '187', '190', '191', '195', '196', '199', '200', '203', '213', '214']
['245', '216', '221', '223', '225', '227', '230', '76', '89', '90', '93', '94', '95', '97', '102', '104']
['248', '108', '113', '115', '117', '118', '119', '121', '126', '132', '133', '135', '137', '138', '139', '140']
['243', '148', '149', '152', '155', '164', '170', '174', '177', '179', '186', '188', '197', '204', '206', '208']
['252', '209', '218', '241', '28', '35', '36', '39', '42', '43', '50', '53', '55', '57', '59', '64']
['251', '69', '74', '81', '84', '85', '92', '100', '110', '111', '116', '120', '124', '125', '127', '130']
['249', '131', '134', '141', '143', '156', '160', '163', '180', '185', '189', '192', '193', '202', '205', '215']
['254', '217', '220', '224', '229', '232', '233', '234', '236', '237', '238', '242', '61', '63', '65', '68']
['253', '70', '71', '72', '78', '80', '83', '86', '96', '98', '99', '103', '105', '106', '107', '145']
['255', '147', '150', '153', '154', '159', '162', '165', '166', '168', '169', '171', '172', '175', '181', '194']
['250', '198', '201', '207', '210', '211', '212', '219', '222', '226', '228', '231', '239', '240', '246', '247']
