['476', '281', '295', '323', '324', '44', '465', '105', '442', '355', '86', '83', '285', '164', '346', '417', '338', '340', '206', '87', '67', '53', '469', '175', '81', '106', '250', '211', '446', '70', '97', '146']
['361', '244', '360', '22', '108', '93', '199', '238', '329', '392', '242', '273', '28', '243', '139', '193', '283', '155', '376', '263', '301', '125', '77', '95', '257', '170', '467', '439', '149', '98', '348', '418']
['2', '45', '168', '173', '309', '89', '189', '160', '26', '68', '341', '88', '313', '158', '174', '292', '410', '237', '17', '74', '154', '293', '272', '305', '231', '352', '64', '373', '377', '15', '414', '294']
['209', '204', '23', '354', '251', '430', '357', '275', '223', '78', '278', '59', '57', '288', '0', '400', '94', '384', '402', '333', '282', '258', '461', '117', '379', '101', '52', '1', '415', '458', '247', '304']
['104', '216', '419', '171', '61', '385', '447', '327', '350', '184', '76', '470', '69', '156', '9', '473', '404', '287', '130', '286', '138', '35', '380', '466', '319', '311', '302', '207', '431', '412', '368', '315']
['337', '398', '245', '254', '297', '345', '176', '215', '162', '121', '133', '122', '387', '219', '438', '454', '425', '318', '267', '433', '227', '383', '284', '268', '363', '388', '395', '186', '478', '8', '382', '200']
['188', '181', '203', '475', '306', '234', '424', '259', '18', '276', '6', '477', '185', '432', '328', '291', '331', '150', '443', '455', '453', '390', '141', '109', '394', '222', '235', '429', '217', '159', '416', '436']
['177', '344', '100', '13', '369', '24', '312', '375', '135', '441', '321', '450', '256', '202', '248', '14', '190', '381', '271', '51', '116', '148', '399', '391', '274', '145', '110', '3', '136', '163', '449', '356']
['205', '462', '252', '365', '113', '131', '444', '422', '82', '73', '343', '65', '134', '260', '4', '20', '48', '19', '55', '152', '448', '406', '246', '132', '38', '403', '330', '228', '336', '366', '80', '440']
['226', '367', '42', '114', '349', '472', '115', '54', '21', '426', '437', '456', '452', '66', '31', '165', '308', '351', '196', '41', '56', '85', '111', '71', '451', '112', '140', '5', '29', '265', '386', '423']
['325', '290', '151', '266', '214', '240', '221', '334', '401', '264', '128', '63', '123', '427', '142', '47', '371', '479', '50', '194', '320', '12', '220', '261', '307', '332', '99', '277', '434', '296', '249', '229']
['372', '300', '37', '30', '232', '46', '471', '279', '463', '118', '225', '33', '183', '428', '241', '166', '167', '362', '409', '157', '358', '60', '339', '262', '326', '389', '224', '280', '317', '322', '370', '16']
['408', '40', '213', '335', '102', '120', '299', '147', '169', '197', '230', '195', '374', '393', '353', '255', '413', '201', '342', '25', '269', '298', '7', '91', '405', '182', '218', '364', '84', '187', '396', '310']
['49', '347', '239', '435', '39', '103', '32', '474', '314', '126', '212', '407', '421', '316', '270', '137', '11', '191', '179', '107', '153', '468', '457', '303', '460', '397', '79', '289', '92', '143', '198', '445']
['180', '127', '27', '253', '119', '58', '210', '62', '96', '10', '420', '208', '233', '411', '172', '378', '75', '464', '129', '43', '72', '192', '34', '459', '124', '236', '161', '90', '359', '36', '144', '178']
