['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '12']
['250', '251', '252', '253', '254', '255', '256', '257', '258', '259', '260', '261']
['300', '301', '302', '303', '304', '305', '306', '307', '308', '309', '310', '311']
['350', '351', '352', '353', '354', '355', '356', '357', '358', '359', '360', '361']
['400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411']
['450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461']
['343', '462', '463', '464', '465', '466', '467', '468', '469', '470', '471', '472']
['295', '473', '474', '475', '476', '477', '478', '479', '480', '481', '482', '483']
['248', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '412']
['494', '413', '414', '415', '416', '417', '418', '419', '420', '421', '422', '423']
['446', '424', '425', '426', '427', '428', '429', '430', '432', '433', '434', '436']
['394', '437', '438', '439', '440', '441', '442', '443', '444', '445', '362', '363']
['344', '364', '365', '366', '367', '368', '369', '370', '371', '372', '373', '374']
['296', '375', '376', '377', '378', '379', '380', '381', '382', '383', '384', '385']
['13', '386', '387', '388', '389', '390', '391', '392', '393', '312', '313', '314']
['495', '315', '316', '317', '318', '319', '320', '321', '322', '323', '324', '325']
['447', '326', '327', '328', '329', '330', '331', '332', '333', '334', '335', '336']
['395', '337', '338', '339', '340', '341', '342', '262', '263', '264', '265', '266']
['345', '267', '268', '269', '270', '271', '273', '274', '275', '276', '277', '278']
['297', '279', '280', '282', '283', '284', '285', '286', '287', '288', '289', '290']
['17', '291', '292', '293', '294', '14', '15', '18', '19', '20', '24', '25']
['496', '26', '27', '29', '30', '31', '32', '34', '35', '37', '39', '40']
['448', '42', '43', '44', '45', '46', '47', '48', '50', '51', '54', '55']
['396', '56', '57', '58', '60', '62', '63', '64', '65', '66', '67', '69']
['346', '70', '72', '73', '74', '75', '77', '79', '80', '81', '83', '84']
['298', '85', '86', '87', '88', '89', '90', '91', '92', '94', '95', '96']
['23', '98', '100', '101', '103', '104', '105', '106', '107', '109', '110', '111']
['497', '112', '113', '114', '115', '116', '117', '120', '121', '123', '124', '125']
['449', '127', '129', '130', '132', '133', '134', '135', '136', '137', '138', '139']
['397', '140', '141', '142', '145', '147', '148', '151', '152', '153', '154', '155']
['347', '156', '158', '159', '161', '163', '165', '166', '167', '168', '169', '170']
['299', '171', '172', '173', '174', '175', '176', '178', '179', '180', '182', '183']
['53', '185', '186', '187', '188', '189', '190', '191', '192', '193', '195', '196']
['498', '197', '198', '199', '200', '202', '203', '204', '205', '206', '208', '209']
['431', '210', '211', '212', '213', '214', '215', '216', '218', '220', '221', '222']
['398', '223', '224', '225', '226', '227', '228', '229', '230', '232', '233', '234']
['348', '235', '236', '237', '238', '239', '240', '241', '243', '244', '245', '246']
['272', '247', '249', '11', '16', '21', '22', '28', '33', '36', '38', '41']
['119', '49', '52', '59', '61', '68', '71', '76', '78', '82', '93', '97']
['499', '99', '102', '108', '118', '122', '126', '128', '131', '143', '144', '146']
['435', '149', '150', '157', '160', '162', '164', '177', '184', '194', '201', '207']
['399', '217', '219', '231', '242']
['349']
['281']
['181']
