['0', '8', '16', '18', '36', '46', '48']
['1', '6', '19', '23', '26', '42', '54']
['2', '7', '20', '32', '43', '47', '55']
['3', '11', '17', '24', '28', '37', '59']
['4', '13', '30', '34', '39', '45', '77']
['5', '14', '25', '31', '35', '41', '60']
['22', '38', '49', '57', '93', '97', '111']
['10', '27', '33', '62', '70', '76', '113']
['12', '29', '40', '64', '72', '99', '103']
['73', '202', '237', '366', '367', '369', '372']
['84', '132', '160', '168', '213', '348', '371']
['127', '130', '162', '188', '192', '210', '229']
['482', '232', '312', '368', '370', '373', '382']
['299', '386', '389', '396', '398', '400', '404']
['286', '405', '409', '411', '413', '417', '439']
['327', '441', '443', '445', '446', '447', '451']
['257', '460', '462', '463', '464', '473', '474']
['426', '478', '378', '380', '391', '401', '406']
['291', '407', '444', '448', '465', '466', '467']
['323', '468', '469', '470', '484', '487', '488']
['335', '374', '375', '376', '377', '381', '383']
['53', '384', '385', '387', '388', '390', '392']
['485', '393', '394', '395', '399', '402', '403']
['181', '410', '412', '414', '415', '416', '418']
['216', '419', '420', '422', '425', '427', '428']
['340', '429', '430', '431', '433', '435', '436']
['287', '437', '453', '454', '455', '456', '457']
['358', '458', '459', '471', '472', '475', '476']
['308', '477', '479', '480', '481', '117', '118']
['432', '161', '169', '177', '185', '244', '248']
['330', '252', '256', '294', '295', '296', '297']
['346', '298', '114', '159', '167', '175', '183']
['15', '189', '197', '205', '282', '283', '284']
['124', '285', '112', '138', '146', '154', '234']
['486', '242', '276', '277', '278', '279', '280']
['397', '281', '326', '68', '74', '78', '82']
['408', '86', '100', '101', '102', '104', '121']
['341', '122', '157', '165', '173', '187', '191']
['336', '195', '199', '207', '211', '215', '245']
['359', '246', '247', '249', '250', '253', '254']
['203', '255', '306', '307', '309', '310', '311']
['442', '332', '333', '344', '345', '353', '364']
['44', '365', '81', '85', '94', '95', '96']
['347', '98', '119', '120', '126', '142', '186']
['61', '190', '194', '198', '206', '214', '230']
['147', '231', '233', '235', '236', '239', '240']
['379', '241', '243', '300', '301', '302', '303']
['434', '304', '305', '319', '342', '343', '350']
['423', '351', '360', '361', '424', '63', '67']
['362', '71', '87', '89', '90', '92', '116']
['337', '133', '141', '149', '156', '164', '172']
['9', '176', '180', '184', '217', '218', '219']
['251', '221', '222', '223', '224', '226', '273']
['461', '288', '289', '290', '292', '316', '317']
['225', '331', '338', '339', '356', '357', '440']
['449', '52', '88', '115', '227', '58', '75']
['170', '79', '83', '107', '108', '136', '140']
['148', '144', '152', '171', '196', '200', '201']
['421', '204', '208', '212', '264', '265', '266']
['452', '267', '268', '269', '315', '322', '65']
['438', '66', '69', '80', '105', '106', '123']
['363', '131', '135', '139', '151', '155', '158']
['349', '163', '166', '174', '178', '179', '182']
['238', '193', '209', '258', '259', '261', '262']
['352', '263', '313', '320', '321', '329', '334']
['483', '50', '51', '56', '91', '109', '110']
['293', '125', '128', '129', '134', '137', '143']
['450', '145', '153', '220', '228', '260', '270']
['328', '271', '272', '274', '275', '314', '318']
['150', '324', '325', '354', '355', '21']
