['0', '9', '11', '17']
['1', '2', '7', '10']
['3', '5', '6', '8']
['4', '12', '13', '14']
['20', '23', '29', '32']
['21', '24', '25', '26']
['177', '61', '66', '68']
['204', '71', '77', '78']
['201', '82', '85', '92']
['199', '102', '106', '115']
['211', '116', '126', '135']
['179', '139', '147', '155']
['181', '165', '167', '169']
['205', '173', '182', '196']
['206', '34', '38', '40']
['203', '46', '49', '50']
['213', '59', '62', '65']
['186', '72', '75', '83']
['183', '97', '103', '107']
['218', '109', '111', '121']
['212', '128', '129', '140']
['215', '152', '160', '164']
['225', '175', '176', '180']
['200', '188', '195', '198']
['187', '208', '15', '19']
['223', '28', '30', '33']
['219', '35', '36', '39']
['220', '52', '55', '67']
['228', '73', '81', '86']
['209', '89', '104', '108']
['191', '123', '125', '132']
['237', '136', '138', '151']
['221', '154', '156', '157']
['226', '161', '162', '163']
['234', '172', '178', '27']
['210', '37', '47', '51']
['197', '63', '64', '69']
['238', '74', '87', '93']
['224', '98', '99', '112']
['227', '113', '117', '119']
['235', '130', '133', '137']
['214', '142', '144', '146']
['207', '150', '158', '159']
['240', '166', '168', '174']
['233', '16', '22', '31']
['231', '42', '43', '44']
['241', '53', '57', '58']
['222', '60', '76', '79']
['216', '80', '84', '90']
['244', '91', '94', '96']
['239', '100', '101', '120']
['232', '127', '131', '134']
['242', '148', '170', '184']
['229', '185', '190', '192']
['217', '193', '202', '18']
['247', '41', '45', '48']
['245', '54', '56', '70']
['236', '88', '95', '105']
['246', '110', '114', '118']
['243', '122', '124', '141']
['230', '143', '145', '149']
['248', '153', '171', '189']
['249', '194']
