['1', '2', '3', '7', '14', '22', '24', '27', '29', '38', '40', '50', '62', '64', '66', '69', '70', '72', '73', '74', '81']
['4', '8', '12', '15', '17', '41', '47', '49', '61', '65', '71', '86', '110', '119', '124', '126', '127', '130', '135', '136', '141']
['5', '6', '9', '11', '23', '30', '34', '43', '45', '60', '80', '87', '92', '94', '99', '100', '107', '108', '109', '115', '123']
['10', '13', '16', '19', '32', '33', '35', '39', '48', '54', '55', '56', '59', '90', '91', '95', '96', '98', '102', '111', '112']
['18', '20', '44', '58', '63', '68', '79', '82', '84', '89', '93', '106', '116', '120', '131', '150', '175', '192', '204', '208', '214']
['21', '25', '26', '28', '31', '36', '37', '42', '46', '51', '52', '53', '57', '67', '75', '76', '77', '78', '97', '101', '103']
['381', '104', '118', '121', '133', '142', '145', '151', '152', '154', '155', '160', '162', '167', '172', '173', '174', '180', '185', '191', '194']
['386', '198', '213', '216', '221', '227', '240', '245', '246', '247', '253', '254', '263', '265', '272', '277', '279', '283', '292', '293', '295']
['390', '299', '306', '316', '329', '331', '334', '337', '338', '339', '354', '357', '359', '364', '370', '377', '383', '385', '387', '389', '218']
['392', '220', '233', '243', '256', '258', '261', '270', '276', '287', '290', '296', '298', '300', '302', '321', '336', '346', '361', '362', '382']
['398', '113', '114', '117', '128', '129', '137', '140', '146', '157', '159', '170', '177', '187', '197', '206', '209', '222', '224', '230', '231']
['384', '234', '241', '244', '249', '255', '271', '273', '282', '301', '305', '310', '317', '320', '327', '343', '344', '345', '347', '348', '353']
['396', '358', '360', '363', '366', '368', '371', '379', '394', '125', '138', '139', '143', '147', '158', '186', '189', '195', '199', '205', '211']
['388', '236', '238', '239', '252', '267', '268', '274', '275', '284', '297', '303', '308', '311', '322', '323', '332', '333', '340', '356', '365']
['393', '369', '375', '376', '378', '144', '148', '149', '156', '161', '163', '164', '165', '166', '168', '169', '171', '179', '184', '193', '201']
['397', '202', '203', '207', '210', '215', '226', '237', '242', '248', '257', '260', '262', '264', '269', '281', '291', '294', '307', '309', '315']
['400', '328', '330', '335', '341', '342', '350', '351', '352', '355', '367', '372', '374', '83', '85', '88', '105', '122', '132', '134', '153']
['391', '176', '178', '181', '182', '183', '188', '190', '196', '200', '212', '217', '219', '223', '225', '228', '229', '232', '235', '250', '251']
['399', '259', '266', '278', '280', '285', '286', '288', '289', '304', '312', '313', '314', '318', '319', '324', '325', '326', '349', '373', '380']
['395']
